make,model,displacement,number_cyl,number_gears,city_mpg,hwy_mpg
Ford Motor Company,EXPLORER AWD,2.3,4,10,20,27
Ford Motor Company,EXPLORER FFV AWD,3.3,6,10,16,23
Ford Motor Company,EXPLORER HEV AWD,3.3,6,10,23,26
Ford Motor Company,EXPLORER TIMBERLINE AWD,2.3,4,10,19,23
Hyundai,GV80 AWD,2.5,4,8,21,25
General Motors,ACADIA AWD,2,4,9,22,27
General Motors,YUKON 4WD,3,6,10,20,26
General Motors,YUKON XL 4WD,3,6,10,20,26
Hyundai,Palisade AWD,3.8,6,8,19,24
Nissan,QX80 4WD,5.6,8,7,13,19
FCA US LLC,Grand Cherokee 4X4,3.6,6,8,18,25
FCA US LLC,Grand Cherokee L 4X4,3.6,6,8,18,25
FCA US LLC,Grand Cherokee SRT 4x4,6.4,8,8,13,19
FCA US LLC,Grand Cherokee Trackhawk 4x4,6.2,8,8,11,17
Volkswagen Group of,Urus,4,8,8,12,17
Jaguar Land Rover L,Defender 110,2,4,8,17,20
Jaguar Land Rover L,Defender 110 MHEV,3,6,8,17,22
Jaguar Land Rover L,Defender 90,2,4,8,18,21
Jaguar Land Rover L,Defender 90 MHEV,3,6,8,17,22
Jaguar Land Rover L,Discovery,2,4,8,19,22
Jaguar Land Rover L,Discovery MHEV,3,6,8,18,24
Jaguar Land Rover L,Range Rover,3,6,8,22,28
Jaguar Land Rover L,Range Rover LWB,5,8,8,16,21
Jaguar Land Rover L,Range Rover LWB SVA,5,8,8,13,19
Jaguar Land Rover L,Range Rover MHEV,3,6,8,18,23
Jaguar Land Rover L,Range Rover Sport,3,6,8,22,28
Jaguar Land Rover L,Range Rover Sport MHEV,3,6,8,19,24
Jaguar Land Rover L,Range Rover Sport SVR,5,8,8,15,20
Jaguar Land Rover L,Range Rover SVA,5,8,8,14,19
Toyota,GX 460,4.6,8,6,15,19
Toyota,LX 570,5.7,8,8,12,16
Toyota,RX 450h AWD,3.5,6,6,31,28
Toyota,RX 450h L AWD,3.5,6,6,29,28
Ford Motor Company,AVIATOR AWD,3,6,10,17,24
Ford Motor Company,"NAVIGATOR 4WD",3.5,6,10,16,20
Maserati,LEVANTE,3,6,8,16,22
Maserati,LEVANTE GTS,3.8,8,8,13,20
Maserati,LEVANTE S,3,6,8,16,22
Maserati,LEVANTE TROFEO,3.8,8,8,13,20
Mercedes-Benz,AMG G 63,4,8,9,13,16
Mercedes-Benz,AMG GLE 53 4MATIC+,3,6,9,18,22
Mercedes-Benz,AMG GLE 53 4MATIC+ (coupe),3,6,9,18,23
Mercedes-Benz,AMG GLE 63 S 4MATIC+,4,8,9,15,19
Mercedes-Benz,AMG GLE 63 S 4MATIC+ (coupe),4,8,9,15,19
Mercedes-Benz,AMG GLS 63 4MATIC+,4,8,9,14,18
Mercedes-Benz,G 550,4,8,9,17,19
Mercedes-Benz,GLE 450 4MATIC,3,6,9,21,26
Mercedes-Benz,GLE 580 4MATIC,4,8,9,17,22
Mercedes-Benz,GLS 450 4MATIC,3,6,9,20,24
Mercedes-Benz,GLS 580 4MATIC,4,8,9,16,21
Mercedes-Benz,GLS 600 4MATIC Maybach,4,8,9,15,19
Nissan,ARMADA 4WD,5.6,8,7,13,18
Porsche,Cayenne,3,6,8,19,23
Porsche,Cayenne Coupé,3,6,8,19,23
Porsche,Cayenne GTS,4,8,8,15,19
Porsche,Cayenne GTS Coupe,4,8,8,15,19
Porsche,Cayenne S,2.9,6,8,18,22
Porsche,Cayenne S Coupé,2.9,6,8,18,22
Porsche,Cayenne Turbo,4,8,8,15,19
Porsche,Cayenne Turbo Coupé,4,8,8,15,19
Subaru,ASCENT AWD,2.4,4,8,21,27
Subaru,ASCENT LIMITED/TOURING AWD,2.4,4,8,20,26
Toyota,4RUNNER 4WD,4,6,5,16,19
Toyota,HIGHLANDER HYBRID AWD,2.5,4,6,35,35
Toyota,HIGHLANDER HYBRID AWD LTD/PLAT,2.5,4,6,35,34
Toyota,LAND CRUISER WAGON 4WD,5.7,8,8,13,17
Toyota,SEQUOIA 4WD,5.7,8,6,13,17
Volkswagen Group of,Atlas 4Motion,3.6,6,8,16,22
Volvo,XC90 AWD,2,4,8,19,28
