Move,TimeUsed,TotalTime,Eval
147,9.72,"(81.4, 52.8)",[]
148,9.72,"(81.4, 52.8)",[]
149,9.72,"(81.4, 52.8)",[]
150,9.72,"(81.4, 52.8)",[]
151,9.72,"(81.4, 52.8)",[]
152,9.72,"(81.4, 52.8)",[]
153,9.72,"(81.4, 52.8)",[]
154,9.72,"(81.4, 52.8)",[]
155,9.72,"(81.4, 52.8)",[]
156,9.72,"(81.4, 52.8)",[]
157,9.72,"(81.4, 52.8)",[]
158,9.72,"(81.4, 52.8)",[]
159,9.72,"(81.4, 52.8)",[]
160,9.72,"(81.4, 52.8)",[]
161,9.72,"(81.4, 52.8)",[]
162,9.72,"(81.4, 52.8)",[]
163,9.41,"(109.3, 52.8)",['c2c3']
164,9.41,"(109.3, 52.8)",[]
165,9.41,"(109.3, 52.8)",[]
166,9.41,"(109.3, 52.8)",[]
167,9.41,"(109.3, 52.8)",[]
168,9.41,"(109.3, 52.8)",[]
169,9.41,"(109.3, 52.8)",[]
170,9.41,"(109.3, 52.8)",[]
171,9.41,"(109.3, 52.8)",[]
172,9.41,"(109.3, 52.8)",[]
173,9.41,"(109.3, 52.8)",[]
174,9.41,"(109.3, 52.8)",[]
175,9.73,"(109.3, 65.6)",['b4c6']
176,9.73,"(109.3, 65.6)",[]
177,9.73,"(109.3, 65.6)",[]
178,9.73,"(109.3, 65.6)",[]
179,9.73,"(109.3, 65.6)",[]
180,9.73,"(109.3, 65.6)",[]
181,9.73,"(109.3, 65.6)",[]
182,9.73,"(109.3, 65.6)",[]
183,9.73,"(109.3, 65.6)",[]
184,9.73,"(109.3, 65.6)",[]
185,9.73,"(109.3, 65.6)",[]
186,9.73,"(109.3, 65.6)",[]
187,9.73,"(109.3, 65.6)",[]
188,9.73,"(109.3, 65.6)",[]
189,9.73,"(109.3, 65.6)",[]
190,9.73,"(109.3, 65.6)",[]
191,9.73,"(109.3, 65.6)",[]
192,9.73,"(109.3, 65.6)",[]
193,9.16,"(127.3, 65.6)",['d1d5']
194,9.16,"(127.3, 65.6)",[]
195,9.16,"(127.3, 65.6)",[]
196,9.16,"(127.3, 65.6)",[]
197,10.11,"(127.3, 69.1)",['f7f6']
198,10.11,"(127.3, 69.1)",[]
199,10.11,"(127.3, 69.1)",[]
200,10.11,"(127.3, 69.1)",[]
201,10.11,"(127.3, 69.1)",[]
202,10.11,"(127.3, 69.1)",[]
203,10.11,"(127.3, 69.1)",[]
204,10.11,"(127.3, 69.1)",[]
205,10.11,"(127.3, 69.1)",[]
206,10.11,"(127.3, 69.1)",[]
207,10.11,"(127.3, 69.1)",[]
208,10.11,"(127.3, 69.1)",[]
209,10.11,"(127.3, 69.1)",[]
210,10.11,"(127.3, 69.1)",[]
211,10.11,"(127.3, 69.1)",[]
212,10.11,"(127.3, 69.1)",[]
213,9.16,"(143.6, 69.1)",['a1d1']
214,9.16,"(143.6, 69.1)",[]
215,9.16,"(143.6, 69.1)",[]
216,8.9,"(143.6, 71.5)",['e8c8']
217,8.9,"(143.6, 71.5)",[]
218,8.9,"(143.6, 71.5)",[]
219,8.9,"(143.6, 71.5)",[]
220,8.9,"(143.6, 71.5)",[]
221,8.9,"(143.6, 71.5)",[]
222,8.9,"(143.6, 71.5)",[]
223,8.9,"(143.6, 71.5)",[]
224,8.9,"(143.6, 71.5)",[]
225,8.9,"(143.6, 71.5)",[]
226,8.9,"(143.6, 71.5)",[]
227,8.9,"(143.6, 71.5)",[]
228,8.9,"(143.6, 71.5)",[]
229,8.9,"(143.6, 71.5)",[]
230,8.9,"(143.6, 71.5)",[]
231,8.9,"(143.6, 71.5)",[]
232,8.9,"(143.6, 71.5)",[]
233,8.9,"(143.6, 71.5)",[]
234,8.9,"(143.6, 71.5)",[]
235,8.9,"(143.6, 71.5)",[]
236,9.66,"(163.6, 71.5)",['e1g1']
237,9.66,"(163.6, 71.5)",[]
238,9.66,"(163.6, 71.5)",[]
239,9.66,"(163.6, 71.5)",[]
240,9.67,"(163.6, 75.7)",['g7g5']
241,9.67,"(163.6, 75.7)",[]
242,9.67,"(163.6, 75.7)",[]
243,9.67,"(163.6, 75.7)",[]
244,9.67,"(163.6, 75.7)",[]
245,9.67,"(163.6, 75.7)",[]
246,9.67,"(163.6, 75.7)",[]
247,9.67,"(163.6, 75.7)",[]
248,9.67,"(163.6, 75.7)",[]
249,9.67,"(163.6, 75.7)",[]
250,9.67,"(163.6, 75.7)",[]
251,9.67,"(163.6, 75.7)",[]
252,9.67,"(163.6, 75.7)",[]
253,9.67,"(163.6, 75.7)",[]
254,9.67,"(163.6, 75.7)",[]
255,9.67,"(163.6, 75.7)",[]
256,9.67,"(163.6, 75.7)",[]
257,9.67,"(163.6, 75.7)",[]
258,9.13,"(182.1, 75.7)",['d5e6']
259,9.13,"(182.1, 75.7)",[]
260,9.13,"(182.1, 75.7)",[]
261,9.13,"(182.1, 75.7)",[]
262,9.13,"(182.1, 75.7)",[]
263,9.13,"(182.1, 75.7)",[]
264,9.13,"(182.1, 75.7)",[]
265,9.13,"(182.1, 75.7)",[]
266,10.16,"(182.1, 83.3)",['f8g7']
267,10.16,"(182.1, 83.3)",[]
268,10.16,"(182.1, 83.3)",[]
269,10.16,"(182.1, 83.3)",[]
270,10.16,"(182.1, 83.3)",[]
271,10.16,"(182.1, 83.3)",[]
272,10.16,"(182.1, 83.3)",[]
273,10.16,"(182.1, 83.3)",[]
274,10.16,"(182.1, 83.3)",[]
275,10.16,"(182.1, 83.3)",[]
276,10.16,"(182.1, 83.3)",[]
277,10.16,"(182.1, 83.3)",[]
278,10.16,"(182.1, 83.3)",[]
279,10.16,"(182.1, 83.3)",[]
280,10.16,"(182.1, 83.3)",[]
281,10.16,"(182.1, 83.3)",[]
282,10.16,"(182.1, 83.3)",[]
283,10.16,"(182.1, 83.3)",[]
284,10.16,"(182.1, 83.3)",[]
285,10.16,"(182.1, 83.3)",[]
286,10.16,"(182.1, 83.3)",[]
287,10.16,"(182.1, 83.3)",[]
288,10.16,"(182.1, 83.3)",[]
289,10.16,"(182.1, 83.3)",[]
290,10.16,"(182.1, 83.3)",[]
291,8.62,"(206.9, 83.3)",['e3a7']
292,8.62,"(206.9, 83.3)",[]
293,8.62,"(206.9, 83.3)",[]
294,8.62,"(206.9, 83.3)",[]
295,8.62,"(206.9, 83.3)",[]
296,8.62,"(206.9, 83.3)",[]
297,8.62,"(206.9, 83.3)",[]
298,8.62,"(206.9, 83.3)",[]
299,8.62,"(206.9, 83.3)",[]
300,8.62,"(206.9, 83.3)",[]
301,8.62,"(206.9, 83.3)",[]
302,8.62,"(206.9, 83.3)",[]
303,8.62,"(206.9, 83.3)",[]
304,8.62,"(206.9, 83.3)",[]
305,8.62,"(206.9, 83.3)",[]
306,8.62,"(206.9, 83.3)",[]
307,8.62,"(206.9, 83.3)",[]
308,8.62,"(206.9, 83.3)",[]
309,8.97,"(206.9, 102.1)",['h8e8']
310,8.97,"(206.9, 102.1)",[]
311,8.97,"(206.9, 102.1)",[]
312,8.97,"(206.9, 102.1)",[]
313,8.97,"(206.9, 102.1)",[]
314,8.97,"(206.9, 102.1)",[]
315,8.97,"(206.9, 102.1)",[]
316,8.97,"(206.9, 102.1)",[]
317,8.97,"(206.9, 102.1)",[]
318,8.97,"(206.9, 102.1)",[]
319,8.97,"(206.9, 102.1)",[]
320,8.97,"(206.9, 102.1)",[]
321,8.97,"(206.9, 102.1)",[]
322,8.97,"(206.9, 102.1)",[]
323,8.97,"(206.9, 102.1)",[]
324,8.97,"(206.9, 102.1)",[]
325,8.97,"(206.9, 102.1)",[]
326,8.97,"(206.9, 102.1)",[]
327,8.97,"(206.9, 102.1)",[]
328,8.97,"(206.9, 102.1)",[]
329,8.97,"(206.9, 102.1)",[]
330,8.97,"(206.9, 102.1)",[]
331,8.97,"(206.9, 102.1)",[]
332,8.97,"(206.9, 102.1)",[]
333,8.97,"(206.9, 102.1)",[]
334,8.97,"(206.9, 102.1)",[]
335,8.97,"(206.9, 102.1)",[]
336,7.93,"(233.3, 102.1)",['e6d5']
337,7.93,"(233.3, 102.1)",[]
338,7.93,"(233.3, 102.1)",[]
339,7.93,"(233.3, 102.1)",[]
340,8.29,"(233.3, 106.0)",['c6a7']
341,8.29,"(233.3, 106.0)",[]
342,8.29,"(233.3, 106.0)",[]
343,8.29,"(233.3, 106.0)",[]
344,8.29,"(233.3, 106.0)",[]
345,8.29,"(233.3, 106.0)",[]
346,8.29,"(233.3, 106.0)",[]
347,8.29,"(233.3, 106.0)",[]
348,8.29,"(233.3, 106.0)",[]
349,8.29,"(233.3, 106.0)",[]
350,8.29,"(233.3, 106.0)",[]
351,8.29,"(233.3, 106.0)",[]
352,8.29,"(233.3, 106.0)",[]
353,8.29,"(233.3, 106.0)",[]
354,8.29,"(233.3, 106.0)",[]
355,8.29,"(233.3, 106.0)",[]
356,8.29,"(233.3, 106.0)",[]
357,8.29,"(233.3, 106.0)",[]
358,8.29,"(233.3, 106.0)",[]
359,8.29,"(233.3, 106.0)",[]
360,8.29,"(233.3, 106.0)",[]
361,8.29,"(233.3, 106.0)",[]
362,8.29,"(233.3, 106.0)",[]
363,8.29,"(233.3, 106.0)",[]
364,8.06,"(257.7, 106.0)",['b2b4']
365,8.06,"(257.7, 106.0)",[]
366,8.06,"(257.7, 106.0)",[]
367,8.06,"(257.7, 106.0)",[]
368,8.06,"(257.7, 106.0)",[]
369,8.06,"(257.7, 106.0)",[]
370,8.06,"(257.7, 106.0)",[]
371,8.06,"(257.7, 106.0)",[]
372,8.81,"(257.7, 114.0)",['a7c6']
373,8.81,"(257.7, 114.0)",[]
374,8.81,"(257.7, 114.0)",[]
375,8.81,"(257.7, 114.0)",[]
376,8.81,"(257.7, 114.0)",[]
377,8.81,"(257.7, 114.0)",[]
378,8.81,"(257.7, 114.0)",[]
379,8.81,"(257.7, 114.0)",[]
380,8.81,"(257.7, 114.0)",[]
381,8.81,"(257.7, 114.0)",[]
382,8.81,"(257.7, 114.0)",[]
383,8.81,"(257.7, 114.0)",[]
384,8.81,"(257.7, 114.0)",[]
385,8.81,"(257.7, 114.0)",[]
386,8.81,"(257.7, 114.0)",[]
387,8.81,"(257.7, 114.0)",[]
388,8.81,"(257.7, 114.0)",[]
389,8.81,"(257.7, 114.0)",[]
390,8.81,"(257.7, 114.0)",[]
391,8.81,"(257.7, 114.0)",[]
392,8.81,"(257.7, 114.0)",[]
393,8.81,"(257.7, 114.0)",[]
394,8.81,"(257.7, 114.0)",[]
395,8.81,"(257.7, 114.0)",[]
396,8.81,"(257.7, 114.0)",[]
397,8.81,"(257.7, 114.0)",[]
398,8.81,"(257.7, 114.0)",[]
399,8.81,"(257.7, 114.0)",[]
400,8.4,"(285.6, 114.0)",['b4b5']
401,8.4,"(285.6, 114.0)",[]
402,7.69,"(285.6, 115.5)",['c6b8']
403,7.69,"(285.6, 115.5)",[]
404,7.69,"(285.6, 115.5)",[]
405,7.69,"(285.6, 115.5)",[]
406,7.69,"(285.6, 115.5)",[]
407,7.69,"(285.6, 115.5)",[]
408,7.69,"(285.6, 115.5)",[]
409,7.69,"(285.6, 115.5)",[]
410,7.69,"(285.6, 115.5)",[]
411,7.69,"(285.6, 115.5)",[]
412,7.69,"(285.6, 115.5)",[]
413,7.69,"(285.6, 115.5)",[]
414,7.69,"(285.6, 115.5)",[]
415,7.69,"(285.6, 115.5)",[]
416,7.69,"(285.6, 115.5)",[]
417,7.69,"(285.6, 115.5)",[]
418,7.69,"(285.6, 115.5)",[]
419,7.69,"(285.6, 115.5)",[]
420,7.69,"(285.6, 115.5)",[]
421,7.69,"(285.6, 115.5)",[]
422,7.69,"(285.6, 115.5)",[]
423,7.69,"(285.6, 115.5)",[]
424,7.69,"(285.6, 115.5)",[]
425,7.69,"(285.6, 115.5)",[]
426,7.69,"(285.6, 115.5)",[]
427,7.69,"(285.6, 115.5)",[]
428,7.69,"(285.6, 115.5)",[]
429,7.69,"(285.6, 115.5)",[]
430,7.69,"(285.6, 115.5)",[]
