Time,Eval,TimeUsed,Moves,Board
0,0.38,"(0.0, 0)",['e2e4'],rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1
1,0.4,"(0.0, 0.1)",['c7c6'],rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
2,0.4,"(0.0, 0.1)",[],rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
3,0.45,"(2.5, 0.1)",['d2d4'],rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2
4,0.45,"(2.5, 0.1)",[],rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2
5,0.37,"(2.5, 1.7)",['d7d5'],rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3
6,0.37,"(2.5, 1.7)",[],rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3
7,0.37,"(2.5, 1.7)",[],rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3
8,0.25,"(6.3, 1.7)",['e4e5'],rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3
9,0.25,"(6.3, 1.7)",[],rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3
10,0.25,"(6.3, 1.7)",[],rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3
11,0.45,"(6.3, 4.1)",['c8f5'],rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 1 4
12,0.27,"(7.8, 4.1)",['h2h4'],rn1qkbnr/pp2pppp/2p5/3pPb2/3P3P/8/PPP2PP1/RNBQKBNR b KQkq - 0 4
13,0.27,"(7.8, 4.1)",[],rn1qkbnr/pp2pppp/2p5/3pPb2/3P3P/8/PPP2PP1/RNBQKBNR b KQkq - 0 4
14,0.27,"(7.8, 4.1)",[],rn1qkbnr/pp2pppp/2p5/3pPb2/3P3P/8/PPP2PP1/RNBQKBNR b KQkq - 0 4
15,0.28,"(7.8, 6.9)",['h7h6'],rn1qkbnr/pp2ppp1/2p4p/3pPb2/3P3P/8/PPP2PP1/RNBQKBNR w KQkq - 0 5
16,0.28,"(7.8, 6.9)",[],rn1qkbnr/pp2ppp1/2p4p/3pPb2/3P3P/8/PPP2PP1/RNBQKBNR w KQkq - 0 5
17,0.28,"(7.8, 6.9)",[],rn1qkbnr/pp2ppp1/2p4p/3pPb2/3P3P/8/PPP2PP1/RNBQKBNR w KQkq - 0 5
18,0.28,"(7.8, 6.9)",[],rn1qkbnr/pp2ppp1/2p4p/3pPb2/3P3P/8/PPP2PP1/RNBQKBNR w KQkq - 0 5
19,0.02,"(12.1, 6.9)",['g1f3'],rn1qkbnr/pp2ppp1/2p4p/3pPb2/3P3P/5N2/PPP2PP1/RNBQKB1R b KQkq - 1 5
20,0.02,"(12.1, 6.9)",[],rn1qkbnr/pp2ppp1/2p4p/3pPb2/3P3P/5N2/PPP2PP1/RNBQKB1R b KQkq - 1 5
21,0.07,"(12.1, 8.9)",['e7e6'],rn1qkbnr/pp3pp1/2p1p2p/3pPb2/3P3P/5N2/PPP2PP1/RNBQKB1R w KQkq - 0 6
22,0.07,"(12.1, 8.9)",[],rn1qkbnr/pp3pp1/2p1p2p/3pPb2/3P3P/5N2/PPP2PP1/RNBQKB1R w KQkq - 0 6
23,-0.11,"(14.0, 8.9)",['b1c3'],rn1qkbnr/pp3pp1/2p1p2p/3pPb2/3P3P/2N2N2/PPP2PP1/R1BQKB1R b KQkq - 1 6
24,-0.11,"(14.0, 8.9)",[],rn1qkbnr/pp3pp1/2p1p2p/3pPb2/3P3P/2N2N2/PPP2PP1/R1BQKB1R b KQkq - 1 6
25,0.15,"(14.0, 10.2)",['c6c5'],rn1qkbnr/pp3pp1/4p2p/2ppPb2/3P3P/2N2N2/PPP2PP1/R1BQKB1R w KQkq - 0 7
26,0.15,"(14.0, 10.2)",[],rn1qkbnr/pp3pp1/4p2p/2ppPb2/3P3P/2N2N2/PPP2PP1/R1BQKB1R w KQkq - 0 7
27,0.15,"(14.0, 10.2)",[],rn1qkbnr/pp3pp1/4p2p/2ppPb2/3P3P/2N2N2/PPP2PP1/R1BQKB1R w KQkq - 0 7
28,0.15,"(14.0, 10.2)",[],rn1qkbnr/pp3pp1/4p2p/2ppPb2/3P3P/2N2N2/PPP2PP1/R1BQKB1R w KQkq - 0 7
29,0.15,"(14.0, 10.2)",[],rn1qkbnr/pp3pp1/4p2p/2ppPb2/3P3P/2N2N2/PPP2PP1/R1BQKB1R w KQkq - 0 7
30,0.15,"(14.0, 10.2)",[],rn1qkbnr/pp3pp1/4p2p/2ppPb2/3P3P/2N2N2/PPP2PP1/R1BQKB1R w KQkq - 0 7
31,0.15,"(14.0, 10.2)",[],rn1qkbnr/pp3pp1/4p2p/2ppPb2/3P3P/2N2N2/PPP2PP1/R1BQKB1R w KQkq - 0 7
32,-0.85,"(21.5, 10.2)",['f1d3'],rn1qkbnr/pp3pp1/4p2p/2ppPb2/3P3P/2NB1N2/PPP2PP1/R1BQK2R b KQkq - 1 7
33,-0.85,"(21.5, 10.2)",[],rn1qkbnr/pp3pp1/4p2p/2ppPb2/3P3P/2NB1N2/PPP2PP1/R1BQK2R b KQkq - 1 7
