Time,Eval,TimeUsed,Moves,Board
38,8.44,"(22.0, 13.3)",[],rnbqk2r/pppp1ppp/3b1n2/4p3/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5
39,8.28,"(25.2, 13.3)",['d4e5'],rnbqk2r/pppp1ppp/3b1n2/4P3/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 5
40,8.28,"(25.2, 13.3)",[],rnbqk2r/pppp1ppp/3b1n2/4P3/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 5
41,8.28,"(25.2, 13.3)",[],rnbqk2r/pppp1ppp/3b1n2/4P3/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 5
42,8.28,"(25.2, 13.3)",[],rnbqk2r/pppp1ppp/3b1n2/4P3/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 5
43,9.6,"(25.2, 17.5)",['d6e7'],rnbqk2r/ppppbppp/5n2/4P3/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 1 6
44,9.6,"(25.2, 17.5)",[],rnbqk2r/ppppbppp/5n2/4P3/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 1 6
45,9.6,"(25.2, 17.5)",[],rnbqk2r/ppppbppp/5n2/4P3/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 1 6
46,9.11,"(27.7, 17.5)",['e5f6'],rnbqk2r/ppppbppp/5P2/8/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 6
47,9.11,"(27.7, 17.5)",[],rnbqk2r/ppppbppp/5P2/8/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 6
48,9.47,"(27.7, 19.4)",['e7f6'],rnbqk2r/pppp1ppp/5b2/8/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 7
49,9.47,"(27.7, 19.4)",[],rnbqk2r/pppp1ppp/5b2/8/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 7
50,9.47,"(27.7, 19.4)",[],rnbqk2r/pppp1ppp/5b2/8/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 7
51,9.47,"(27.7, 19.4)",[],rnbqk2r/pppp1ppp/5b2/8/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 7
52,8.08,"(32.3, 19.4)",['f1c4'],rnbqk2r/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 7
53,8.08,"(32.3, 19.4)",[],rnbqk2r/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 7
54,8.08,"(32.3, 19.4)",[],rnbqk2r/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 7
55,8.08,"(32.3, 19.4)",[],rnbqk2r/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 7
56,8.08,"(32.3, 19.4)",[],rnbqk2r/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 7
57,8.08,"(32.3, 19.4)",[],rnbqk2r/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 7
58,8.08,"(32.3, 19.4)",[],rnbqk2r/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 7
59,8.08,"(32.3, 19.4)",[],rnbqk2r/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 7
60,8.08,"(32.3, 19.4)",[],rnbqk2r/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 7
61,8.08,"(32.3, 19.4)",[],rnbqk2r/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 7
62,8.08,"(32.3, 19.4)",[],rnbqk2r/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 7
63,8.08,"(32.3, 19.4)",[],rnbqk2r/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 7
64,8.08,"(32.3, 19.4)",[],rnbqk2r/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 7
65,9.13,"(32.3, 32.6)",['e8g8'],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R w KQ - 2 8
66,9.13,"(32.3, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R w KQ - 2 8
67,9.13,"(32.3, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R w KQ - 2 8
68,9.13,"(32.3, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R w KQ - 2 8
69,9.13,"(32.3, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R w KQ - 2 8
70,9.13,"(32.3, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R w KQ - 2 8
71,9.13,"(32.3, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R w KQ - 2 8
72,9.13,"(32.3, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R w KQ - 2 8
73,9.13,"(32.3, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R w KQ - 2 8
74,9.13,"(32.3, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R w KQ - 2 8
75,8.36,"(41.6, 32.6)",['c1d2'],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R b KQ - 3 8
76,8.36,"(41.6, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R b KQ - 3 8
77,8.36,"(41.6, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R b KQ - 3 8
78,8.36,"(41.6, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R b KQ - 3 8
79,8.36,"(41.6, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R b KQ - 3 8
80,8.36,"(41.6, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R b KQ - 3 8
81,8.36,"(41.6, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R b KQ - 3 8
82,8.36,"(41.6, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R b KQ - 3 8
83,8.36,"(41.6, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R b KQ - 3 8
84,8.36,"(41.6, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R b KQ - 3 8
85,8.36,"(41.6, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R b KQ - 3 8
86,8.36,"(41.6, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R b KQ - 3 8
87,8.36,"(41.6, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R b KQ - 3 8
88,8.36,"(41.6, 32.6)",[],rnbq1rk1/pppp1ppp/5b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R b KQ - 3 8
89,8.24,"(41.6, 47.0)",['d7d6'],rnbq1rk1/ppp2ppp/3p1b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R w KQ - 0 9
90,8.24,"(41.6, 47.0)",[],rnbq1rk1/ppp2ppp/3p1b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R w KQ - 0 9
91,8.24,"(41.6, 47.0)",[],rnbq1rk1/ppp2ppp/3p1b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R w KQ - 0 9
92,8.24,"(41.6, 47.0)",[],rnbq1rk1/ppp2ppp/3p1b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R w KQ - 0 9
93,8.24,"(41.6, 47.0)",[],rnbq1rk1/ppp2ppp/3p1b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R w KQ - 0 9
94,8.24,"(41.6, 47.0)",[],rnbq1rk1/ppp2ppp/3p1b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R w KQ - 0 9
95,8.24,"(41.6, 47.0)",[],rnbq1rk1/ppp2ppp/3p1b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R w KQ - 0 9
96,8.24,"(41.6, 47.0)",[],rnbq1rk1/ppp2ppp/3p1b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R w KQ - 0 9
97,8.24,"(41.6, 47.0)",[],rnbq1rk1/ppp2ppp/3p1b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R w KQ - 0 9
98,8.24,"(41.6, 47.0)",[],rnbq1rk1/ppp2ppp/3p1b2/8/2B1P3/2N2N2/PPPB1PPP/R2QK2R w KQ - 0 9
99,0.4,"(52.0, 47.0)",['d2g5'],rnbq1rk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R b KQ - 1 9
100,0.4,"(52.0, 47.0)",[],rnbq1rk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R b KQ - 1 9
101,0.4,"(52.0, 47.0)",[],rnbq1rk1/ppp2ppp/3p1b2/6B1/2B1P3/2N2N2/PPP2PPP/R2QK2R b KQ - 1 9
