MoveS,MovePGN,Player,TimeUsed,Time,Evaluation,HRDelta,TPM,Board,Game,DeltaPos,maxi,mini
Nxf4,['e2f4'],w,172.8,276,-0.48,-7.0,4.600000000000023,r1b2rk1/pp3ppp/2n5/2p5/4PN1P/8/PPP3P1/2KR1B1R b - - 0 15,Game0814-2,0.62,0,-1
Rd8,['f8d8'],b,105.8,279,0.35,3.0,3.299999999999997,r1br2k1/pp3ppp/2n5/2p5/4PN1P/8/PPP3P1/2KR1B1R w - - 1 16,Game0814-2,0.83,2,-2
Nd5,['f4d5'],w,186.6,293,-0.21,-6.0,13.799999999999983,r1br2k1/pp3ppp/2n5/2pN4/4P2P/8/PPP3P1/2KR1B1R b - - 2 16,Game0814-2,0.5599999999999999,0,0
Bg4,['c8g4'],b,124.3,311,-0.48,8.0,18.5,r2r2k1/pp3ppp/2n5/2pN4/4P1bP/8/PPP3P1/2KR1B1R w - - 3 17,Game0814-2,0.27,0,-1
Rd2,['d1d2'],w,228.3,353,-0.63,-4.0,41.70000000000002,r2r2k1/pp3ppp/2n5/2pN4/4P1bP/8/PPPR2P1/2K2B1R b - - 4 17,Game0814-2,0.15000000000000002,0,-2
Re8,['d8e8'],b,176.7,405,4.01,-5.0,52.39999999999999,r3r1k1/pp3ppp/2n5/2pN4/4P1bP/8/PPPR2P1/2K2B1R w - - 5 18,Game0814-2,4.64,4,0
Nc7,['d5c7'],w,237.1,414,4.34,2.0,8.799999999999983,r3r1k1/ppN2ppp/2n5/2p5/4P1bP/8/PPPR2P1/2K2B1R b - - 6 18,Game0814-2,0.33000000000000007,0,0
Rad8,['a8d8'],b,205.9,443,5.76,-2.0,29.200000000000017,3rr1k1/ppN2ppp/2n5/2p5/4P1bP/8/PPPR2P1/2K2B1R w - - 7 19,Game0814-2,1.42,5,-1
Nxe8,['c7e8'],w,240.9,447,5.32,-3.0,3.8000000000000114,3rN1k1/pp3ppp/2n5/2p5/4P1bP/8/PPPR2P1/2K2B1R b - - 0 19,Game0814-2,0.4399999999999995,2,0
Rxe8,['d8e8'],b,217.9,459,5.5,-5.0,12.0,4r1k1/pp3ppp/2n5/2p5/4P1bP/8/PPPR2P1/2K2B1R w - - 0 20,Game0814-2,0.17999999999999972,0,-8
Bc4,['f1c4'],w,279.9,498,4.44,-11.0,38.99999999999997,4r1k1/pp3ppp/2n5/2p5/2B1P1bP/8/PPPR2P1/2K4R b - - 1 20,Game0814-2,1.0599999999999996,1,-1
Rxe4,['e8e4'],b,235.1,515,4.9,0.0,17.19999999999999,6k1/pp3ppp/2n5/2p5/2B1r1bP/8/PPPR2P1/2K4R w - - 0 21,Game0814-2,0.45999999999999996,9,0
Bd5,['c4d5'],w,295.3,531,4.64,3.0,15.400000000000034,6k1/pp3ppp/2n5/2pB4/4r1bP/8/PPPR2P1/2K4R b - - 1 21,Game0814-2,0.2600000000000007,0,-9
Rd4,['e4d4'],b,258.6,554,5.84,1.0,23.50000000000003,6k1/pp3ppp/2n5/2pB4/3r2bP/8/PPPR2P1/2K4R w - - 2 22,Game0814-2,1.2000000000000002,5,0
Bxc6,['d5c6'],w,307.3,566,5.84,2.0,12.0,6k1/pp3ppp/2B5/2p5/3r2bP/8/PPPR2P1/2K4R b - - 0 22,Game0814-2,0.0,3,0
bxc6,['b7c6'],b,263.1,571,6.1,-1.0,4.5,6k1/p4ppp/2p5/2p5/3r2bP/8/PPPR2P1/2K4R w - - 0 23,Game0814-2,0.2599999999999998,0,-6
Rxd4,['d2d4'],w,314.4,578,6.07,-3.0,7.099999999999966,6k1/p4ppp/2p5/2p5/3R2bP/8/PPP3P1/2K4R b - - 0 23,Game0814-2,0.02999999999999936,7,0
cxd4,['c5d4'],b,265.6,580,6.03,-3.0,2.5,6k1/p4ppp/2p5/8/3p2bP/8/PPP3P1/2K4R w - - 0 24,Game0814-2,0.040000000000000036,1,-6
Re1,['h1e1'],w,319.0,585,6.03,-9.0,4.600000000000023,6k1/p4ppp/2p5/8/3p2bP/8/PPP3P1/2K1R3 b - - 1 24,Game0814-2,0.0,0,-2
h5,['h7h5'],b,291.0,610,5.97,1.0,25.399999999999977,6k1/p4pp1/2p5/7p/3p2bP/8/PPP3P1/2K1R3 w - - 0 25,Game0814-2,0.0600000000000005,0,-1
Re7,['e1e7'],w,328.5,620,5.96,-4.0,9.5,6k1/p3Rpp1/2p5/7p/3p2bP/8/PPP3P1/2K5 b - - 1 25,Game0814-2,0.009999999999999787,1,0
a5,['a7a5'],b,300.6,630,6.31,7.0,9.600000000000023,6k1/4Rpp1/2p5/p6p/3p2bP/8/PPP3P1/2K5 w - - 0 26,Game0814-2,0.34999999999999964,3,-3
Rc7,['e7c7'],w,335.2,636,6.74,-7.0,6.699999999999989,6k1/2R2pp1/2p5/p6p/3p2bP/8/PPP3P1/2K5 b - - 1 26,Game0814-2,0.4300000000000006,1,-5
Bf5,['g4f5'],b,334.0,670,6.69,2.0,33.39999999999998,6k1/2R2pp1/2p5/p4b1p/3p3P/8/PPP3P1/2K5 w - - 2 27,Game0814-2,0.04999999999999982,2,-3
Rxc6,['c7c6'],w,343.4,678,6.37,-6.0,8.199999999999989,6k1/5pp1/2R5/p4b1p/3p3P/8/PPP3P1/2K5 b - - 0 27,Game0814-2,0.3200000000000003,3,0
d3,['d4d3'],b,334.9,679,7.95,-2.0,0.8999999999999773,6k1/5pp1/2R5/p4b1p/7P/3p4/PPP3P1/2K5 w - - 0 28,Game0814-2,1.58,0,-3
cxd3,['c2d3'],w,351.1,686,7.69,-10.0,7.7000000000000455,6k1/5pp1/2R5/p4b1p/7P/3P4/PP4P1/2K5 b - - 0 28,Game0814-2,0.2599999999999998,0,-3
Bxd3,['f5d3'],b,337.0,689,7.89,2.0,2.1000000000000227,6k1/5pp1/2R5/p6p/7P/3b4/PP4P1/2K5 w - - 0 29,Game0814-2,0.1999999999999993,4,0
Rb6,['c6b6'],w,369.2,707,7.57,-7.0,18.099999999999966,6k1/5pp1/1R6/p6p/7P/3b4/PP4P1/2K5 b - - 1 29,Game0814-2,0.3199999999999994,1,0
f6,['f7f6'],b,351.3,721,8.14,4.0,14.300000000000011,6k1/6p1/1R3p2/p6p/7P/3b4/PP4P1/2K5 w - - 0 30,Game0814-2,0.5700000000000003,4,0
b4,['b2b4'],w,371.8,724,7.5,-10.0,2.6000000000000227,6k1/6p1/1R3p2/p6p/1P5P/3b4/P5P1/2K5 b - - 0 30,Game0814-2,0.6400000000000006,1,0
axb4,['a5b4'],b,365.5,738,7.39,3.0,14.199999999999989,6k1/6p1/1R3p2/7p/1p5P/3b4/P5P1/2K5 w - - 0 31,Game0814-2,0.11000000000000032,0,-5
Rxb4,['b6b4'],w,375.0,741,7.8,-9.0,3.1999999999999886,6k1/6p1/5p2/7p/1R5P/3b4/P5P1/2K5 b - - 0 31,Game0814-2,0.41000000000000014,0,-1
g5,['g7g5'],b,366.5,742,7.96,8.0,1.0,6k1/8/5p2/6pp/1R5P/3b4/P5P1/2K5 w - - 0 32,Game0814-2,0.16000000000000014,7,0
hxg5,['h4g5'],w,386.3,753,5.58,-7.0,11.300000000000011,6k1/8/5p2/6Pp/1R6/3b4/P5P1/2K5 b - - 0 32,Game0814-2,2.38,0,-7
fxg5,['f6g5'],b,369.5,756,6.01,1.0,3.0,6k1/8/8/6pp/1R6/3b4/P5P1/2K5 w - - 0 33,Game0814-2,0.4299999999999997,0,-5
Rb5,['b4b5'],w,393.2,763,-8.45,-4.0,6.899999999999977,6k1/8/8/1R4pp/8/3b4/P5P1/2K5 b - - 1 33,Game0814-2,14.459999999999999,0,-4
Bxb5,['d3b5'],b,383.5,777,-7.81,7.0,14.0,6k1/8/8/1b4pp/8/8/P5P1/2K5 w - - 0 34,Game0814-2,0.6399999999999997,1,0
a3,['a2a3'],w,398.2,782,-11.36,-3.0,5.0,6k1/8/8/1b4pp/8/P7/6P1/2K5 b - - 0 34,Game0814-2,3.55,6,0
g4,['g5g4'],b,386.6,785,-9.04,6.0,3.1000000000000227,6k1/8/8/1b5p/6p1/P7/6P1/2K5 w - - 0 35,Game0814-2,2.3200000000000003,5,-1
