MoveS,MovePGN,Player,TimeUsed,Time,Evaluation,HRDelta,TPM,Board,Game,DeltaPos,maxi,mini
Nc4,['b6c4'],b,320.4,666,6.68,5.0,6.0,3r2k1/1p4pp/4R3/1p1p4/2n5/P7/1PP2PPP/3R1K2 w - - 1 23,Game0816-6,0.05000000000000071,4,0
Re7,['e6e7'],w,412.9,734,6.59,-3.0,67.39999999999998,3r2k1/1p2R1pp/8/1p1p4/2n5/P7/1PP2PPP/3R1K2 b - - 2 23,Game0816-6,0.08999999999999986,2,0
Nxb2,['c4b2'],b,329.7,743,6.15,13.0,9.300000000000011,3r2k1/1p2R1pp/8/1p1p4/8/P7/1nP2PPP/3R1K2 w - - 0 24,Game0816-6,0.4399999999999995,11,0
Rb1,['d1b1'],w,416.1,746,6.3,-6.0,3.2000000000000455,3r2k1/1p2R1pp/8/1p1p4/8/P7/1nP2PPP/1R3K2 b - - 1 24,Game0816-6,0.14999999999999947,1,0
Nc4,['b2c4'],b,333.8,750,6.37,2.0,4.100000000000023,3r2k1/1p2R1pp/8/1p1p4/2n5/P7/2P2PPP/1R3K2 w - - 2 25,Game0816-6,0.07000000000000028,6,0
Rxb5,['b1b5'],w,422.6,757,6.83,-10.0,6.5,3r2k1/1p2R1pp/8/1R1p4/2n5/P7/2P2PPP/5K2 b - - 0 25,Game0816-6,0.45999999999999996,0,-4
Nxa3,['c4a3'],b,343.1,766,8.02,-5.0,9.300000000000011,3r2k1/1p2R1pp/8/1R1p4/8/n7/2P2PPP/5K2 w - - 0 26,Game0816-6,1.1899999999999995,0,-3
Rbxb7,['b5b7'],w,425.0,769,8.45,-2.0,2.3999999999999773,3r2k1/1R2R1pp/8/3p4/8/n7/2P2PPP/5K2 b - - 0 26,Game0816-6,0.4299999999999997,0,-2
Nxc2,['a3c2'],b,352.0,777,7.88,1.0,8.899999999999977,3r2k1/1R2R1pp/8/3p4/8/8/2n2PPP/5K2 w - - 0 27,Game0816-6,0.5699999999999994,2,-2
Rxg7+,['e7g7'],w,427.0,779,8.09,0.0,2.0,3r2k1/1R4Rp/8/3p4/8/8/2n2PPP/5K2 b - - 0 27,Game0816-6,0.20999999999999996,0,-17
Kf8,['g8f8'],b,356.4,784,9.36,-1.0,4.399999999999977,3r1k2/1R4Rp/8/3p4/8/8/2n2PPP/5K2 w - - 1 28,Game0816-6,1.2699999999999996,0,-3
Rxh7,['g7h7'],w,444.6,801,8.34,42.0,17.600000000000023,3r1k2/1R5R/8/3p4/8/8/2n2PPP/5K2 b - - 0 28,Game0816-6,1.0199999999999996,26,0
d4,['d5d4'],b,363.8,809,#+1,0.0,7.400000000000034,3r1k2/1R5R/8/8/3p4/8/2n2PPP/5K2 w - - 0 29,Game0816-6,11.66,1,0
Rh8#,['h7h8'],w,448.1,812,#+0,nan,3.5,3r1k1R/1R6/8/8/3p4/8/2n2PPP/5K2 b - - 1 29,Game0816-6,11.66,0,0
e4,['e2e4'],w,0.0,0,0.38,-1.0,0.0,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Game0816-1,0.38,0,-3
c6,['c7c6'],b,0.1,1,0.4,3.0,0.1,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Game0816-1,0.020000000000000018,4,0
d4,['d2d4'],w,3.0,4,0.45,0.0,3.0,rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,Game0816-1,0.04999999999999999,0,-2
d5,['d7d5'],b,1.7,5,0.31,1.0,1.5999999999999999,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,Game0816-1,0.14,5,0
e5,['e4e5'],w,4.5,7,0.25,2.0,1.5,rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,Game0816-1,0.06,6,0
Bf5,['c8f5'],b,4.8,10,0.45,-2.0,3.0999999999999996,rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,Game0816-1,0.2,2,-2
c4,['c2c4'],w,8.6,14,0.36,-4.0,4.1,rn1qkbnr/pp2pppp/2p5/3pPb2/2PP4/8/PP3PPP/RNBQKBNR b KQkq - 0 4,Game0816-1,0.09000000000000002,0,-5
e6,['e7e6'],b,6.4,15,0.35,-2.0,1.6000000000000005,rn1qkbnr/pp3ppp/2p1p3/3pPb2/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 5,Game0816-1,0.010000000000000009,0,-5
Nc3,['b1c3'],w,12.0,19,0.45,1.0,3.4000000000000004,rn1qkbnr/pp3ppp/2p1p3/3pPb2/2PP4/2N5/PP3PPP/R1BQKBNR b KQkq - 1 5,Game0816-1,0.10000000000000003,2,0
c5,['c6c5'],b,27.0,39,1.63,-3.0,20.6,rn1qkbnr/pp3ppp/4p3/2ppPb2/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq - 0 6,Game0816-1,1.18,0,-2
Nf3,['g1f3'],w,19.3,47,1.18,-2.0,7.300000000000001,rn1qkbnr/pp3ppp/4p3/2ppPb2/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq - 1 6,Game0816-1,0.44999999999999996,2,0
Nc6,['b8c6'],b,32.1,52,1.03,1.0,5.100000000000001,r2qkbnr/pp3ppp/2n1p3/2ppPb2/2PP4/2N2N2/PP3PPP/R1BQKB1R w KQkq - 2 7,Game0816-1,0.1499999999999999,1,0
cxd5,['c4d5'],w,24.0,57,0.91,2.0,4.699999999999999,r2qkbnr/pp3ppp/2n1p3/2pPPb2/3P4/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 7,Game0816-1,0.12,2,-2
exd5,['e6d5'],b,36.7,61,1.11,0.0,4.600000000000001,r2qkbnr/pp3ppp/2n5/2ppPb2/3P4/2N2N2/PP3PPP/R1BQKB1R w KQkq - 0 8,Game0816-1,0.20000000000000007,0,0
Bb5,['f1b5'],w,28.8,66,0.57,0.0,4.800000000000001,r2qkbnr/pp3ppp/2n5/1BppPb2/3P4/2N2N2/PP3PPP/R1BQK2R b KQkq - 1 8,Game0816-1,0.5400000000000001,0,-1
cxd4,['c5d4'],b,68.4,98,2.1,-8.0,31.700000000000003,r2qkbnr/pp3ppp/2n5/1B1pPb2/3p4/2N2N2/PP3PPP/R1BQK2R w KQkq - 0 9,Game0816-1,1.5300000000000002,0,-1
Nxd4,['f3d4'],w,35.9,105,2.17,0.0,7.099999999999998,r2qkbnr/pp3ppp/2n5/1B1pPb2/3N4/2N5/PP3PPP/R1BQK2R b KQkq - 0 9,Game0816-1,0.06999999999999984,0,-3
Ne7,['g8e7'],b,80.1,116,2.59,-5.0,11.699999999999989,r2qkb1r/pp2nppp/2n5/1B1pPb2/3N4/2N5/PP3PPP/R1BQK2R w KQkq - 1 10,Game0816-1,0.41999999999999993,0,-4
Nxf5,['d4f5'],w,42.2,123,1.51,-2.0,6.300000000000004,r2qkb1r/pp2nppp/2n5/1B1pPN2/8/2N5/PP3PPP/R1BQK2R b KQkq - 0 10,Game0816-1,1.0799999999999998,0,-4
Nxf5,['e7f5'],b,83.7,126,1.5,3.0,3.6000000000000085,r2qkb1r/pp3ppp/2n5/1B1pPn2/8/2N5/PP3PPP/R1BQK2R w KQkq - 0 11,Game0816-1,0.010000000000000009,2,0
Qxd5,['d1d5'],w,51.5,136,0.41,3.0,9.299999999999997,r2qkb1r/pp3ppp/2n5/1B1QPn2/8/2N5/PP3PPP/R1B1K2R b KQkq - 0 11,Game0816-1,1.09,3,0
Qxd5,['d8d5'],b,111.1,163,0.52,-1.0,27.39999999999999,r3kb1r/pp3ppp/2n5/1B1qPn2/8/2N5/PP3PPP/R1B1K2R w KQkq - 0 12,Game0816-1,0.11000000000000004,0,-1
Nxd5,['c3d5'],w,54.5,166,0.54,-1.0,3.0,r3kb1r/pp3ppp/2n5/1B1NPn2/8/8/PP3PPP/R1B1K2R b KQkq - 0 12,Game0816-1,0.020000000000000018,5,0
O-O-O,['e8c8'],b,118.9,174,0.06,1.0,7.800000000000011,2kr1b1r/pp3ppp/2n5/1B1NPn2/8/8/PP3PPP/R1B1K2R w KQ - 1 13,Game0816-1,0.48000000000000004,0,-1
Bxc6,['b5c6'],w,68.9,188,0.52,0.0,14.400000000000006,2kr1b1r/pp3ppp/2B5/3NPn2/8/8/PP3PPP/R1B1K2R b KQ - 0 13,Game0816-1,0.46,2,0
bxc6,['b7c6'],b,122.1,191,0.54,3.0,3.1999999999999886,2kr1b1r/p4ppp/2p5/3NPn2/8/8/PP3PPP/R1B1K2R w KQ - 0 14,Game0816-1,0.020000000000000018,0,-1
Nc3,['d5c3'],w,70.6,193,0.72,-1.0,1.6999999999999886,2kr1b1r/p4ppp/2p5/4Pn2/8/2N5/PP3PPP/R1B1K2R b KQ - 1 14,Game0816-1,0.17999999999999994,5,0
Nd4,['f5d4'],b,141.8,213,0.68,4.0,19.700000000000017,2kr1b1r/p4ppp/2p5/4P3/3n4/2N5/PP3PPP/R1B1K2R w KQ - 2 15,Game0816-1,0.039999999999999925,4,0
O-O,['e1g1'],w,88.2,230,0.81,7.0,17.60000000000001,2kr1b1r/p4ppp/2p5/4P3/3n4/2N5/PP3PPP/R1B2RK1 b - - 3 15,Game0816-1,0.13,0,-7
Be7,['f8e7'],b,184.2,273,1.76,-3.0,42.39999999999998,2kr3r/p3bppp/2p5/4P3/3n4/2N5/PP3PPP/R1B2RK1 w - - 4 16,Game0816-1,0.95,1,-3
Be3,['c1e3'],w,94.3,279,1.44,-3.0,6.099999999999994,2kr3r/p3bppp/2p5/4P3/3n4/2N1B3/PP3PPP/R4RK1 b - - 5 16,Game0816-1,0.32000000000000006,2,0
Nc2,['d4c2'],b,193.9,289,1.69,5.0,9.700000000000017,2kr3r/p3bppp/2p5/4P3/8/2N1B3/PPn2PPP/R4RK1 w - - 6 17,Game0816-1,0.25,0,-8
Rac1,['a1c1'],w,108.6,303,1.59,-1.0,14.299999999999997,2kr3r/p3bppp/2p5/4P3/8/2N1B3/PPn2PPP/2R2RK1 b - - 7 17,Game0816-1,0.09999999999999987,2,0
Nxe3,"['c2e3', 'f2e3']",b,196.8,306,1.76,10.0,2.9000000000000057,2kr3r/p3bppp/2p5/4P3/8/2N1P3/PP4PP/2R2RK1 b - - 0 18,Game0816-1,0.16999999999999993,5,0
fxe3,"['c2e3', 'f2e3']",w,109.1,306,1.76,-2.0,0.5,2kr3r/p3bppp/2p5/4P3/8/2N1P3/PP4PP/2R2RK1 b - - 0 18,Game0816-1,0.0,1,0
Bc5,['e7c5'],b,213.2,323,0.97,1.0,16.399999999999977,2kr3r/p4ppp/2p5/2b1P3/8/2N1P3/PP4PP/2R2RK1 w - - 1 19,Game0816-1,0.79,2,0
Rfe1,['f1e1'],w,153.5,367,1.31,2.0,44.400000000000006,2kr3r/p4ppp/2p5/2b1P3/8/2N1P3/PP4PP/2R1R1K1 b - - 2 19,Game0816-1,0.3400000000000001,6,0
Rhe8,['h8e8'],b,218.6,373,1.63,9.0,5.400000000000006,2krr3/p4ppp/2p5/2b1P3/8/2N1P3/PP4PP/2R1R1K1 w - - 3 20,Game0816-1,0.31999999999999984,4,0
Ne4,['c3e4'],w,160.8,380,1.56,-5.0,7.300000000000011,2krr3/p4ppp/2p5/2b1P3/4N3/4P3/PP4PP/2R1R1K1 b - - 4 20,Game0816-1,0.06999999999999984,0,-1
Bb4,['c5b4'],b,294.4,456,2.31,7.0,75.79999999999998,2krr3/p4ppp/2p5/4P3/1b2N3/4P3/PP4PP/2R1R1K1 w - - 5 21,Game0816-1,0.75,3,0
Rxc6+,['c1c6'],w,178.3,473,0.9,1.0,17.5,2krr3/p4ppp/2R5/4P3/1b2N3/4P3/PP4PP/4R1K1 b - - 0 21,Game0816-1,1.4100000000000001,4,0
Kb7,['c8b7'],b,300.1,479,1.08,-1.0,5.7000000000000455,3rr3/pk3ppp/2R5/4P3/1b2N3/4P3/PP4PP/4R1K1 w - - 1 22,Game0816-1,0.18000000000000005,0,-1
Rec1,['e1c1'],w,184.8,485,1.2,-3.0,6.5,3rr3/pk3ppp/2R5/4P3/1b2N3/4P3/PP4PP/2R3K1 b - - 2 22,Game0816-1,0.11999999999999988,1,-1
Ba5,['b4a5'],b,352.1,537,7.25,14.0,52.0,3rr3/pk3ppp/2R5/b3P3/4N3/4P3/PP4PP/2R3K1 w - - 3 23,Game0816-1,6.05,1,0
Nd6+,['e4d6'],w,197.4,550,7.33,6.0,12.599999999999994,3rr3/pk3ppp/2RN4/b3P3/8/4P3/PP4PP/2R3K1 b - - 4 23,Game0816-1,0.08000000000000007,5,0
Rxd6,['d8d6'],b,360.0,558,7.35,8.0,7.899999999999977,4r3/pk3ppp/2Rr4/b3P3/8/4P3/PP4PP/2R3K1 w - - 0 24,Game0816-1,0.019999999999999574,0,-3
exd6,['e5d6'],w,200.9,561,6.44,2.0,3.5,4r3/pk3ppp/2RP4/b7/8/4P3/PP4PP/2R3K1 b - - 0 24,Game0816-1,0.9099999999999993,7,0
Rxe3,['e8e3'],b,442.5,644,6.95,6.0,82.5,8/pk3ppp/2RP4/b7/8/4r3/PP4PP/2R3K1 w - - 0 25,Game0816-1,0.5099999999999998,0,0
d7,['d6d7'],w,240.5,683,6.09,-3.0,39.599999999999994,8/pk1P1ppp/2R5/b7/8/4r3/PP4PP/2R3K1 b - - 0 25,Game0816-1,0.8600000000000003,0,-2
Re1+,['e3e1'],b,464.2,705,8.54,13.0,21.69999999999999,8/pk1P1ppp/2R5/b7/8/8/PP4PP/2R1r1K1 w - - 1 26,Game0816-1,2.4499999999999993,1,-3
Rxe1,['c1e1'],w,245.7,710,8.65,0.0,5.199999999999989,8/pk1P1ppp/2R5/b7/8/8/PP4PP/4R1K1 b - - 0 26,Game0816-1,0.11000000000000121,1,-2
Kxc6,['b7c6'],b,465.0,711,8.66,13.0,0.8000000000000114,8/p2P1ppp/2k5/b7/8/8/PP4PP/4R1K1 w - - 0 27,Game0816-1,0.009999999999999787,3,0
Re7,['e1e7'],w,265.0,730,8.39,0.0,19.30000000000001,8/p2PRppp/2k5/b7/8/8/PP4PP/6K1 b - - 1 27,Game0816-1,0.2699999999999996,6,0
Bd8,['a5d8'],b,501.0,766,8.6,26.0,36.0,3b4/p2PRppp/2k5/8/8/8/PP4PP/6K1 w - - 2 28,Game0816-1,0.20999999999999908,1,0
Rxf7,['e7f7'],w,271.5,773,8.5,1.0,6.5,3b4/p2P1Rpp/2k5/8/8/8/PP4PP/6K1 b - - 0 28,Game0816-1,0.09999999999999964,0,-8
Kd6,['c6d6'],b,503.5,775,9.18,24.0,2.5,3b4/p2P1Rpp/3k4/8/8/8/PP4PP/6K1 w - - 1 29,Game0816-1,0.6799999999999997,5,0
Rxg7,['f7g7'],w,281.8,786,9.06,2.0,10.300000000000011,3b4/p2P2Rp/3k4/8/8/8/PP4PP/6K1 b - - 0 29,Game0816-1,0.11999999999999922,5,0
Be7,['d8e7'],b,517.4,800,9.38,13.0,13.899999999999977,8/p2Pb1Rp/3k4/8/8/8/PP4PP/6K1 w - - 1 30,Game0816-1,0.3200000000000003,2,0
Rxh7,['g7h7'],w,285.7,804,8.61,-1.0,3.8999999999999773,8/p2Pb2R/3k4/8/8/8/PP4PP/6K1 b - - 0 30,Game0816-1,0.7700000000000014,2,0
Kxd7,['d6d7'],b,518.6,805,9.41,11.0,1.2000000000000455,8/p2kb2R/8/8/8/8/PP4PP/6K1 w - - 0 31,Game0816-1,0.8000000000000007,0,-2
Kf2,['g1f2'],w,288.2,807,10.15,-2.0,2.5,8/p2kb2R/8/8/8/8/PP3KPP/8 b - - 1 31,Game0816-1,0.7400000000000002,3,-1
Kc6,['d7c6'],b,530.5,819,16.83,11.0,11.899999999999977,8/p3b2R/2k5/8/8/8/PP3KPP/8 w - - 2 32,Game0816-1,6.679999999999998,0,-1
Rxe7,['h7e7'],w,290.9,822,18.76,nan,2.6999999999999886,8/p3R3/2k5/8/8/8/PP3KPP/8 b - - 0 32,Game0816-1,1.9300000000000033,0,0
e4,['e2e4'],w,0.0,0,0.38,-2.0,0.0,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Game0816-7,0.38,0,-4
c5,['c7c5'],b,0.1,1,0.38,-3.0,0.1,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Game0816-7,0.0,0,-7
Nf3,['g1f3'],w,3.4,4,0.31,1.0,3.4,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,Game0816-7,0.07,1,-1
d6,['d7d6'],b,1.0,5,0.75,0.0,0.9,rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Game0816-7,0.44,0,-4
d4,['d2d4'],w,17.0,18,0.36,0.0,13.6,rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,Game0816-7,0.39,0,-2
cxd4,['c5d4'],b,2.9,20,0.55,1.0,1.9,rnbqkbnr/pp2pppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,Game0816-7,0.19000000000000006,3,0
Nxd4,['f3d4'],w,19.8,23,0.53,2.0,2.8000000000000007,rnbqkbnr/pp2pppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,Game0816-7,0.020000000000000018,2,0
Nf6,['g8f6'],b,12.7,33,0.55,-2.0,9.799999999999999,rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,Game0816-7,0.020000000000000018,0,0
Nc3,['b1c3'],w,23.3,36,0.48,4.0,3.5,rnbqkb1r/pp2pppp/3p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5,Game0816-7,0.07000000000000006,1,0
g6,['g7g6'],b,24.1,48,0.71,-3.0,11.400000000000002,rnbqkb1r/pp2pp1p/3p1np1/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,Game0816-7,0.22999999999999998,0,0
Bd3,['f1d3'],w,37.0,62,-0.07,6.0,13.7,rnbqkb1r/pp2pp1p/3p1np1/8/3NP3/2NB4/PPP2PPP/R1BQK2R b KQkq - 1 6,Game0816-7,0.78,2,0
Bg7,['f8g7'],b,33.6,71,-0.04,-4.0,9.5,rnbqk2r/pp2ppbp/3p1np1/8/3NP3/2NB4/PPP2PPP/R1BQK2R w KQkq - 2 7,Game0816-7,0.030000000000000006,0,0
Nf3,['d4f3'],w,50.0,84,0.0,9.0,13.0,rnbqk2r/pp2ppbp/3p1np1/8/4P3/2NB1N2/PPP2PPP/R1BQK2R b KQkq - 3 7,Game0816-7,0.04,5,0
Bg4,['c8g4'],b,53.0,103,-0.02,-5.0,19.4,rn1qk2r/pp2ppbp/3p1np1/8/4P1b1/2NB1N2/PPP2PPP/R1BQK2R w KQkq - 4 8,Game0816-7,0.02,0,0
h3,['h2h3'],w,62.9,116,0.08,6.0,12.899999999999999,rn1qk2r/pp2ppbp/3p1np1/8/4P1b1/2NB1N1P/PPP2PP1/R1BQK2R b KQkq - 0 8,Game0816-7,0.1,6,0
Bxf3,['g4f3'],b,64.3,128,-0.06,-1.0,11.299999999999997,rn1qk2r/pp2ppbp/3p1np1/8/4P3/2NB1b1P/PPP2PP1/R1BQK2R w KQkq - 0 9,Game0816-7,0.14,0,-1
Qxf3,['d1f3'],w,65.4,130,-0.08,5.0,2.500000000000007,rn1qk2r/pp2ppbp/3p1np1/8/4P3/2NB1Q1P/PPP2PP1/R1B1K2R b KQkq - 0 9,Game0816-7,0.020000000000000004,1,-3
Nc6,['b8c6'],b,66.0,132,-0.11,0.0,1.7000000000000028,r2qk2r/pp2ppbp/2np1np1/8/4P3/2NB1Q1P/PPP2PP1/R1B1K2R w KQkq - 1 10,Game0816-7,0.03,0,-1
Bb5,['d3b5'],w,83.1,150,-0.5,14.0,17.69999999999999,r2qk2r/pp2ppbp/2np1np1/1B6/4P3/2N2Q1P/PPP2PP1/R1B1K2R b KQkq - 2 10,Game0816-7,0.39,0,-3
a6,['a7a6'],b,71.5,155,0.5,3.0,5.5,r2qk2r/1p2ppbp/p1np1np1/1B6/4P3/2N2Q1P/PPP2PP1/R1B1K2R w KQkq - 0 11,Game0816-7,1.0,0,-1
Ba4,['b5a4'],w,93.2,165,-0.63,7.0,10.100000000000009,r2qk2r/1p2ppbp/p1np1np1/8/B3P3/2N2Q1P/PPP2PP1/R1B1K2R b KQkq - 1 11,Game0816-7,1.13,7,0
b5,"['b7b5', 'a4b3']",b,74.2,168,-0.81,5.0,2.700000000000003,r2qk2r/4ppbp/p1np1np1/1p6/4P3/1BN2Q1P/PPP2PP1/R1B1K2R b KQkq - 1 12,Game0816-7,0.18000000000000005,0,0
Bb3,"['b7b5', 'a4b3']",w,93.8,168,-0.81,2.0,0.5999999999999943,r2qk2r/4ppbp/p1np1np1/1p6/4P3/1BN2Q1P/PPP2PP1/R1B1K2R b KQkq - 1 12,Game0816-7,0.0,4,0
Nd4,['c6d4'],b,79.0,173,-0.28,5.0,4.799999999999997,r2qk2r/4ppbp/p2p1np1/1p6/3nP3/1BN2Q1P/PPP2PP1/R1B1K2R w KQkq - 2 13,Game0816-7,0.53,0,-1
Qd3,['f3d3'],w,115.0,194,-0.52,1.0,21.200000000000003,r2qk2r/4ppbp/p2p1np1/1p6/3nP3/1BNQ3P/PPP2PP1/R1B1K2R b KQkq - 3 13,Game0816-7,0.24,1,0
Nxb3,"['d4b3', 'a2b3']",b,83.4,199,-0.32,8.0,4.400000000000006,r2qk2r/4ppbp/p2p1np1/1p6/4P3/1PNQ3P/1PP2PP1/R1B1K2R b KQkq - 0 14,Game0816-7,0.2,0,-4
axb3,"['d4b3', 'a2b3']",w,115.1,199,-0.32,1.0,0.09999999999999432,r2qk2r/4ppbp/p2p1np1/1p6/4P3/1PNQ3P/1PP2PP1/R1B1K2R b KQkq - 0 14,Game0816-7,0.0,1,0
O-O,['e8g8'],b,93.8,209,-0.27,10.0,10.399999999999991,r2q1rk1/4ppbp/p2p1np1/1p6/4P3/1PNQ3P/1PP2PP1/R1B1K2R w KQ - 1 15,Game0816-7,0.04999999999999999,1,-1
O-O,['e1g1'],w,117.6,212,-0.4,1.0,2.5,r2q1rk1/4ppbp/p2p1np1/1p6/4P3/1PNQ3P/1PP2PP1/R1B2RK1 b - - 2 15,Game0816-7,0.13,0,-2
Qb6,['d8b6'],b,115.9,234,-0.48,12.0,22.10000000000001,r4rk1/4ppbp/pq1p1np1/1p6/4P3/1PNQ3P/1PP2PP1/R1B2RK1 w - - 3 16,Game0816-7,0.07999999999999996,5,0
Be3,['c1e3'],w,128.4,245,-0.45,8.0,10.800000000000011,r4rk1/4ppbp/pq1p1np1/1p6/4P3/1PNQB2P/1PP2PP1/R4RK1 b - - 4 16,Game0816-7,0.02999999999999997,1,-1
Qc6,['b6c6'],b,128.0,257,0.18,7.0,12.099999999999994,r4rk1/4ppbp/p1qp1np1/1p6/4P3/1PNQB2P/1PP2PP1/R4RK1 w - - 5 17,Game0816-7,0.63,1,0
Nd5,['c3d5'],w,151.5,280,0.07,5.0,23.099999999999994,r4rk1/4ppbp/p1qp1np1/1p1N4/4P3/1P1QB2P/1PP2PP1/R4RK1 b - - 6 17,Game0816-7,0.10999999999999999,1,-1
Nxd5,['f6d5'],b,134.5,286,0.33,-4.0,6.5,r4rk1/4ppbp/p1qp2p1/1p1n4/4P3/1P1QB2P/1PP2PP1/R4RK1 w - - 0 18,Game0816-7,0.26,1,0
exd5,['e4d5'],w,153.1,288,0.14,4.0,1.5999999999999943,r4rk1/4ppbp/p1qp2p1/1p1P4/8/1P1QB2P/1PP2PP1/R4RK1 b - - 0 18,Game0816-7,0.19,2,0
Qd7,['c6d7'],b,154.8,308,0.1,-1.0,20.30000000000001,r4rk1/3qppbp/p2p2p1/1p1P4/8/1P1QB2P/1PP2PP1/R4RK1 w - - 1 19,Game0816-7,0.04000000000000001,0,-1
c3,['c2c3'],w,160.8,316,0.11,7.0,7.700000000000017,r4rk1/3qppbp/p2p2p1/1p1P4/8/1PPQB2P/1P3PP1/R4RK1 b - - 0 19,Game0816-7,0.009999999999999995,2,0
b4,['b5b4'],b,203.9,365,0.75,-1.0,49.099999999999994,r4rk1/3qppbp/p2p2p1/3P4/1p6/1PPQB2P/1P3PP1/R4RK1 w - - 0 20,Game0816-7,0.64,1,0
Qd2,['d3d2'],w,188.2,393,0.29,-3.0,27.399999999999977,r4rk1/3qppbp/p2p2p1/3P4/1p6/1PP1B2P/1P1Q1PP1/R4RK1 b - - 1 20,Game0816-7,0.46,0,-3
bxc3,['b4c3'],b,214.0,403,0.42,-1.0,10.099999999999994,r4rk1/3qppbp/p2p2p1/3P4/8/1Pp1B2P/1P1Q1PP1/R4RK1 w - - 0 21,Game0816-7,0.13,2,0
bxc3,['b2c3'],w,191.7,406,0.49,1.0,3.5,r4rk1/3qppbp/p2p2p1/3P4/8/1PP1B2P/3Q1PP1/R4RK1 b - - 0 21,Game0816-7,0.07,2,0
Rfc8,['f8c8'],b,230.7,423,0.11,-1.0,16.69999999999999,r1r3k1/3qppbp/p2p2p1/3P4/8/1PP1B2P/3Q1PP1/R4RK1 w - - 1 22,Game0816-7,0.38,0,-1
Rac1,['a1c1'],w,197.9,429,-1.1,1.0,6.200000000000017,r1r3k1/3qppbp/p2p2p1/3P4/8/1PP1B2P/3Q1PP1/2R2RK1 b - - 2 22,Game0816-7,1.2100000000000002,0,-1
Rab8,['a8b8'],b,239.4,438,-0.5,2.0,8.700000000000017,1rr3k1/3qppbp/p2p2p1/3P4/8/1PP1B2P/3Q1PP1/2R2RK1 w - - 3 23,Game0816-7,0.6000000000000001,0,-6
Qc2,['d2c2'],w,235.6,475,-2.74,-1.0,37.69999999999999,1rr3k1/3qppbp/p2p2p1/3P4/8/1PP1B2P/2Q2PP1/2R2RK1 b - - 4 23,Game0816-7,2.24,1,0
Qb5,['d7b5'],b,273.4,509,-1.43,15.0,33.99999999999997,1rr3k1/4ppbp/p2p2p1/1q1P4/8/1PP1B2P/2Q2PP1/2R2RK1 w - - 5 24,Game0816-7,1.3100000000000003,2,0
b4,['b3b4'],w,284.7,559,-2.11,-1.0,49.099999999999994,1rr3k1/4ppbp/p2p2p1/1q1P4/1P6/2P1B2P/2Q2PP1/2R2RK1 b - - 0 24,Game0816-7,0.6799999999999999,0,-5
Qxd5,['b5d5'],b,283.1,568,-1.41,10.0,9.700000000000045,1rr3k1/4ppbp/p2p2p1/3q4/1P6/2P1B2P/2Q2PP1/2R2RK1 w - - 0 25,Game0816-7,0.7,0,-2
Bd2,['e3d2'],w,311.6,595,-3.19,0.0,26.900000000000034,1rr3k1/4ppbp/p2p2p1/3q4/1P6/2P4P/2QB1PP1/2R2RK1 b - - 1 25,Game0816-7,1.78,0,-1
a5,['a6a5'],b,312.3,624,-0.98,20.0,29.19999999999999,1rr3k1/4ppbp/3p2p1/p2q4/1P6/2P4P/2QB1PP1/2R2RK1 w - - 0 26,Game0816-7,2.21,2,0
bxa5,['b4a5'],w,323.4,636,-2.03,16.0,11.799999999999955,1rr3k1/4ppbp/3p2p1/P2q4/8/2P4P/2QB1PP1/2R2RK1 b - - 0 26,Game0816-7,1.0499999999999998,4,0
