Move,Board,Player,TR,T,HRDelta,TPR,Board
Qe2,['d1e2'],w,174.5,234,-8.0,-2.0,52,r3kb1r/pp3ppp/4pn2/3p4/P6q/1PP5/3BQPPP/R3R1K1 b kq - 2 15,Game0529-1
Bd6,['f8d6'],b,77.0,252,-6.51,-1.0,58,r3k2r/pp3ppp/3bpn2/3p4/P6q/1PP5/3BQPPP/R3R1K1 w kq - 3 16,Game0529-1
h3,['h2h3'],w,183.4,261,-8.69,0.0,27,r3k2r/pp3ppp/3bpn2/3p4/P6q/1PP4P/3BQPP1/R3R1K1 b kq - 0 16,Game0529-1
Ne4,['f6e4'],b,82.2,266,-5.35,0.0,14,r3k2r/pp3ppp/3bp3/3p4/P3n2q/1PP4P/3BQPP1/R3R1K1 w kq - 1 17,Game0529-1
Qb5+,['e2b5'],w,209.0,292,-6.1,11.0,31,r3k2r/pp3ppp/3bp3/1Q1p4/P3n2q/1PP4P/3B1PP1/R3R1K1 b kq - 2 17,Game0529-1
Ke7,['e8e7'],b,105.3,315,-3.79,13.0,49,r6r/pp2kppp/3bp3/1Q1p4/P3n2q/1PP4P/3B1PP1/R3R1K1 w - - 3 18,Game0529-1
Qxb7+,['b5b7'],w,225.0,331,-4.69,9.0,39,r6r/pQ2kppp/3bp3/3p4/P3n2q/1PP4P/3B1PP1/R3R1K1 b - - 0 18,Game0529-1
Kf6,['e7f6'],b,109.0,334,-4.66,6.0,19,r6r/pQ3ppp/3bpk2/3p4/P3n2q/1PP4P/3B1PP1/R3R1K1 w - - 1 19,Game0529-1
Be3,['d2e3'],w,249.2,359,-5.19,15.0,28,r6r/pQ3ppp/3bpk2/3p4/P3n2q/1PP1B2P/5PP1/R3R1K1 b - - 2 19,Game0529-1
Qh5,['h4h5'],b,160.4,410,-1.32,19.0,76,r6r/pQ3ppp/3bpk2/3p3q/P3n3/1PP1B2P/5PP1/R3R1K1 w - - 3 20,Game0529-1
c4,['c3c4'],w,277.5,438,-4.21,11.0,79,r6r/pQ3ppp/3bpk2/3p3q/P1P1n3/1P2B2P/5PP1/R3R1K1 b - - 0 20,Game0529-1
Qe5,['h5e5'],b,165.2,443,-3.86,7.0,33,r6r/pQ3ppp/3bpk2/3pq3/P1P1n3/1P2B2P/5PP1/R3R1K1 w - - 1 21,Game0529-1
g3,['g2g3'],w,404.8,570,-4.58,14.0,132,r6r/pQ3ppp/3bpk2/3pq3/P1P1n3/1P2B1PP/5P2/R3R1K1 b - - 0 21,Game0529-1
Nc5,['e4c5'],b,277.4,683,6.51,15.0,240,r6r/pQ3ppp/3bpk2/2npq3/P1P5/1P2B1PP/5P2/R3R1K1 w - - 1 22,Game0529-1
Bxc5,['e3c5'],w,468.8,747,6.37,17.0,177,r6r/pQ3ppp/3bpk2/2Bpq3/P1P5/1P4PP/5P2/R3R1K1 b - - 0 22,Game0529-1
Qxa1,['e5a1'],b,339.6,809,6.15,27.0,126,r6r/pQ3ppp/3bpk2/2Bp4/P1P5/1P4PP/5P2/q3R1K1 w - - 0 23,Game0529-1
Rxa1,['e1a1'],w,475.4,815,6.67,23.0,68,r6r/pQ3ppp/3bpk2/2Bp4/P1P5/1P4PP/5P2/R5K1 b - - 0 23,Game0529-1
Bxc5,['d6c5'],b,342.4,818,7.04,20.0,9,r6r/pQ3ppp/4pk2/2bp4/P1P5/1P4PP/5P2/R5K1 w - - 0 24,Game0529-1
Rd1,['a1d1'],w,489.6,832,5.87,12.0,17,r6r/pQ3ppp/4pk2/2bp4/P1P5/1P4PP/5P2/3R2K1 b - - 1 24,Game0529-1
Rab8,['a8b8'],b,353.8,844,6.26,7.0,26,1r5r/pQ3ppp/4pk2/2bp4/P1P5/1P4PP/5P2/3R2K1 w - - 2 25,Game0529-1
Qa6,['b7a6'],w,517.5,872,3.05,7.0,40,1r5r/p4ppp/Q3pk2/2bp4/P1P5/1P4PP/5P2/3R2K1 b - - 3 25,Game0529-1
Rxb3,['b8b3'],b,374.2,892,4.4,5.0,48,7r/p4ppp/Q3pk2/2bp4/P1P5/1r4PP/5P2/3R2K1 w - - 0 26,Game0529-1
cxd5,['c4d5'],w,529.6,904,3.14,7.0,32,7r/p4ppp/Q3pk2/2bP4/P7/1r4PP/5P2/3R2K1 b - - 0 26,Game0529-1
Rb6,['b3b6'],b,380.6,911,6.04,15.0,19,7r/p4ppp/Qr2pk2/2bP4/P7/6PP/5P2/3R2K1 w - - 1 27,Game0529-1
Qe2,['a6e2'],w,544.1,925,5.31,17.0,21,7r/p4ppp/1r2pk2/2bP4/P7/6PP/4QP2/3R2K1 b - - 2 27,Game0529-1
Re8,['h8e8'],b,390.4,935,6.67,12.0,24,4r3/p4ppp/1r2pk2/2bP4/P7/6PP/4QP2/3R2K1 w - - 3 28,Game0529-1
Qf3+,['e2f3'],w,546.7,938,6.02,10.0,13,4r3/p4ppp/1r2pk2/2bP4/P7/5QPP/5P2/3R2K1 b - - 4 28,Game0529-1
Ke7,['f6e7'],b,401.9,949,6.18,16.0,14,4r3/p3kppp/1r2p3/2bP4/P7/5QPP/5P2/3R2K1 w - - 5 29,Game0529-1
Rc1,['d1c1'],w,558.7,961,5.23,16.0,23,4r3/p3kppp/1r2p3/2bP4/P7/5QPP/5P2/2R3K1 b - - 6 29,Game0529-1
Rc8,['e8c8'],b,415.9,975,5.24,15.0,26,2r5/p3kppp/1r2p3/2bP4/P7/5QPP/5P2/2R3K1 w - - 7 30,Game0529-1
