Time,Eval,TimeUsed,Moves,Board
0,0.57,"(0.0, 0.0)","['e2e4', 'c7c6']",rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
1,0.57,"(0.0, 0.0)",[],rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
2,0.57,"(0.0, 0.0)",[],rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
3,0.57,"(0.0, 0.0)",[],rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
4,0.43,"(3.6, 0.0)",['d2d4'],rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2
5,0.33,"(3.6, 0.7)",['d7d5'],rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3
6,0.51,"(4.6, 0.7)",['e4e5'],rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3
7,0.51,"(4.6, 0.7)",[],rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3
8,0.51,"(4.6, 0.7)",[],rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3
9,0.44,"(4.6, 3.6)",['c8f5'],rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 1 4
10,0.44,"(4.6, 3.6)",[],rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 1 4
11,0.14,"(7.0, 3.6)",['f1d3'],rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/3B4/PPP2PPP/RNBQK1NR b KQkq - 2 4
12,0.14,"(7.0, 3.6)",[],rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/3B4/PPP2PPP/RNBQK1NR b KQkq - 2 4
13,0.14,"(7.0, 3.6)",[],rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/3B4/PPP2PPP/RNBQK1NR b KQkq - 2 4
14,0.14,"(7.0, 3.6)",[],rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/3B4/PPP2PPP/RNBQK1NR b KQkq - 2 4
15,0.14,"(7.0, 3.6)",[],rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/3B4/PPP2PPP/RNBQK1NR b KQkq - 2 4
16,0.14,"(7.0, 3.6)",[],rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/3B4/PPP2PPP/RNBQK1NR b KQkq - 2 4
17,0.14,"(7.0, 3.6)",[],rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/3B4/PPP2PPP/RNBQK1NR b KQkq - 2 4
18,0.14,"(7.0, 3.6)",[],rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/3B4/PPP2PPP/RNBQK1NR b KQkq - 2 4
19,0.26,"(7.0, 11.2)",['f5d3'],rn1qkbnr/pp2pppp/2p5/3pP3/3P4/3b4/PPP2PPP/RNBQK1NR w KQkq - 0 5
20,0.26,"(7.0, 11.2)",[],rn1qkbnr/pp2pppp/2p5/3pP3/3P4/3b4/PPP2PPP/RNBQK1NR w KQkq - 0 5
21,0.04,"(9.1, 11.2)",['d1d3'],rn1qkbnr/pp2pppp/2p5/3pP3/3P4/3Q4/PPP2PPP/RNB1K1NR b KQkq - 0 5
22,0.16,"(9.1, 12.8)",['e7e6'],rn1qkbnr/pp3ppp/2p1p3/3pP3/3P4/3Q4/PPP2PPP/RNB1K1NR w KQkq - 0 6
23,0.16,"(9.1, 12.8)",[],rn1qkbnr/pp3ppp/2p1p3/3pP3/3P4/3Q4/PPP2PPP/RNB1K1NR w KQkq - 0 6
24,0.16,"(9.1, 12.8)",[],rn1qkbnr/pp3ppp/2p1p3/3pP3/3P4/3Q4/PPP2PPP/RNB1K1NR w KQkq - 0 6
25,0.16,"(9.1, 12.8)",[],rn1qkbnr/pp3ppp/2p1p3/3pP3/3P4/3Q4/PPP2PPP/RNB1K1NR w KQkq - 0 6
26,-0.6,"(12.4, 12.8)",['c2c4'],rn1qkbnr/pp3ppp/2p1p3/3pP3/2PP4/3Q4/PP3PPP/RNB1K1NR b KQkq - 0 6
27,-0.6,"(12.4, 12.8)",[],rn1qkbnr/pp3ppp/2p1p3/3pP3/2PP4/3Q4/PP3PPP/RNB1K1NR b KQkq - 0 6
28,-0.6,"(12.4, 12.8)",[],rn1qkbnr/pp3ppp/2p1p3/3pP3/2PP4/3Q4/PP3PPP/RNB1K1NR b KQkq - 0 6
29,-0.6,"(12.4, 12.8)",[],rn1qkbnr/pp3ppp/2p1p3/3pP3/2PP4/3Q4/PP3PPP/RNB1K1NR b KQkq - 0 6
30,-0.6,"(12.4, 12.8)",[],rn1qkbnr/pp3ppp/2p1p3/3pP3/2PP4/3Q4/PP3PPP/RNB1K1NR b KQkq - 0 6
31,-0.6,"(12.4, 12.8)",[],rn1qkbnr/pp3ppp/2p1p3/3pP3/2PP4/3Q4/PP3PPP/RNB1K1NR b KQkq - 0 6
32,-0.6,"(12.4, 12.8)",[],rn1qkbnr/pp3ppp/2p1p3/3pP3/2PP4/3Q4/PP3PPP/RNB1K1NR b KQkq - 0 6
33,-0.6,"(12.4, 12.8)",[],rn1qkbnr/pp3ppp/2p1p3/3pP3/2PP4/3Q4/PP3PPP/RNB1K1NR b KQkq - 0 6
34,-0.6,"(12.4, 12.8)",[],rn1qkbnr/pp3ppp/2p1p3/3pP3/2PP4/3Q4/PP3PPP/RNB1K1NR b KQkq - 0 6
35,0.44,"(12.4, 21.9)",['d8a5'],rn2kbnr/pp3ppp/2p1p3/q2pP3/2PP4/3Q4/PP3PPP/RNB1K1NR w KQkq - 1 7
36,0.44,"(12.4, 21.9)",[],rn2kbnr/pp3ppp/2p1p3/q2pP3/2PP4/3Q4/PP3PPP/RNB1K1NR w KQkq - 1 7
37,0.44,"(12.4, 21.9)",[],rn2kbnr/pp3ppp/2p1p3/q2pP3/2PP4/3Q4/PP3PPP/RNB1K1NR w KQkq - 1 7
38,0.44,"(12.4, 21.9)",[],rn2kbnr/pp3ppp/2p1p3/q2pP3/2PP4/3Q4/PP3PPP/RNB1K1NR w KQkq - 1 7
39,0.44,"(12.4, 21.9)",[],rn2kbnr/pp3ppp/2p1p3/q2pP3/2PP4/3Q4/PP3PPP/RNB1K1NR w KQkq - 1 7
40,0.44,"(12.4, 21.9)",[],rn2kbnr/pp3ppp/2p1p3/q2pP3/2PP4/3Q4/PP3PPP/RNB1K1NR w KQkq - 1 7
41,0.44,"(12.4, 21.9)",[],rn2kbnr/pp3ppp/2p1p3/q2pP3/2PP4/3Q4/PP3PPP/RNB1K1NR w KQkq - 1 7
42,0.44,"(12.4, 21.9)",[],rn2kbnr/pp3ppp/2p1p3/q2pP3/2PP4/3Q4/PP3PPP/RNB1K1NR w KQkq - 1 7
43,0.44,"(12.4, 21.9)",[],rn2kbnr/pp3ppp/2p1p3/q2pP3/2PP4/3Q4/PP3PPP/RNB1K1NR w KQkq - 1 7
44,0.0,"(21.7, 21.9)",['c1d2'],rn2kbnr/pp3ppp/2p1p3/q2pP3/2PP4/3Q4/PP1B1PPP/RN2K1NR b KQkq - 2 7
45,0.0,"(21.7, 21.9)",[],rn2kbnr/pp3ppp/2p1p3/q2pP3/2PP4/3Q4/PP1B1PPP/RN2K1NR b KQkq - 2 7
46,0.0,"(21.7, 21.9)",[],rn2kbnr/pp3ppp/2p1p3/q2pP3/2PP4/3Q4/PP1B1PPP/RN2K1NR b KQkq - 2 7
47,0.0,"(21.7, 21.9)",[],rn2kbnr/pp3ppp/2p1p3/q2pP3/2PP4/3Q4/PP1B1PPP/RN2K1NR b KQkq - 2 7
48,0.0,"(21.7, 21.9)",[],rn2kbnr/pp3ppp/2p1p3/q2pP3/2PP4/3Q4/PP1B1PPP/RN2K1NR b KQkq - 2 7
49,0.49,"(21.7, 27.0)",['f8b4'],rn2k1nr/pp3ppp/2p1p3/q2pP3/1bPP4/3Q4/PP1B1PPP/RN2K1NR w KQkq - 3 8
50,0.49,"(21.7, 27.0)",[],rn2k1nr/pp3ppp/2p1p3/q2pP3/1bPP4/3Q4/PP1B1PPP/RN2K1NR w KQkq - 3 8
51,0.49,"(21.7, 27.0)",[],rn2k1nr/pp3ppp/2p1p3/q2pP3/1bPP4/3Q4/PP1B1PPP/RN2K1NR w KQkq - 3 8
52,0.49,"(21.7, 27.0)",[],rn2k1nr/pp3ppp/2p1p3/q2pP3/1bPP4/3Q4/PP1B1PPP/RN2K1NR w KQkq - 3 8
53,0.49,"(21.7, 27.0)",[],rn2k1nr/pp3ppp/2p1p3/q2pP3/1bPP4/3Q4/PP1B1PPP/RN2K1NR w KQkq - 3 8
54,0.49,"(21.7, 27.0)",[],rn2k1nr/pp3ppp/2p1p3/q2pP3/1bPP4/3Q4/PP1B1PPP/RN2K1NR w KQkq - 3 8
