Time,Eval,TimeUsed,Moves,Board
37,0.24,"(12.0, 18.5)",[],r2qkbnr/pp1n1pp1/2p1p2p/3pP3/3P3P/3Q1N2/PPP2PP1/RNB1K2R w KQkq - 0 8
38,0.24,"(12.0, 18.5)",[],r2qkbnr/pp1n1pp1/2p1p2p/3pP3/3P3P/3Q1N2/PPP2PP1/RNB1K2R w KQkq - 0 8
39,0.24,"(12.0, 18.5)",[],r2qkbnr/pp1n1pp1/2p1p2p/3pP3/3P3P/3Q1N2/PPP2PP1/RNB1K2R w KQkq - 0 8
40,-0.14,"(21.1, 18.5)",['c1f4'],r2qkbnr/pp1n1pp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPP2PP1/RN2K2R b KQkq - 1 8
41,-0.14,"(21.1, 18.5)",[],r2qkbnr/pp1n1pp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPP2PP1/RN2K2R b KQkq - 1 8
42,-0.14,"(21.1, 18.5)",[],r2qkbnr/pp1n1pp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPP2PP1/RN2K2R b KQkq - 1 8
43,-0.05,"(21.1, 21.1)",['g8e7'],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPP2PP1/RN2K2R w KQkq - 2 9
44,-0.05,"(21.1, 21.1)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPP2PP1/RN2K2R w KQkq - 2 9
45,-0.05,"(21.1, 21.1)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPP2PP1/RN2K2R w KQkq - 2 9
46,-0.05,"(21.1, 21.1)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPP2PP1/RN2K2R w KQkq - 2 9
47,-0.05,"(21.1, 21.1)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPP2PP1/RN2K2R w KQkq - 2 9
48,-0.05,"(21.1, 21.1)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPP2PP1/RN2K2R w KQkq - 2 9
49,-0.05,"(21.1, 21.1)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPP2PP1/RN2K2R w KQkq - 2 9
50,-0.05,"(21.1, 21.1)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPP2PP1/RN2K2R w KQkq - 2 9
51,-0.05,"(21.1, 21.1)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPP2PP1/RN2K2R w KQkq - 2 9
52,-0.39,"(30.9, 21.1)",['b1d2'],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPPN1PP1/R3K2R b KQkq - 3 9
53,-0.39,"(30.9, 21.1)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPPN1PP1/R3K2R b KQkq - 3 9
54,-0.39,"(30.9, 21.1)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1B1P/3Q1N2/PPPN1PP1/R3K2R b KQkq - 3 9
