Move,TimeUsed,TotalTime,Eval
142,-6.55,"(97.6, 36.3)",[]
143,-6.55,"(97.6, 36.3)",[]
144,-6.55,"(97.6, 36.3)",[]
145,-6.55,"(97.6, 36.3)",[]
146,-6.55,"(97.6, 36.3)",[]
147,-6.55,"(97.6, 36.3)",[]
148,-6.55,"(97.6, 36.3)",[]
149,-6.55,"(97.6, 36.3)",[]
150,-7.12,"(113.2, 36.3)",['f3d4']
151,-7.12,"(113.2, 36.3)",[]
152,-7.28,"(113.2, 38.4)",['b6d4']
153,-7.28,"(113.2, 38.4)",[]
154,-7.28,"(113.2, 38.4)",[]
155,-7.28,"(113.2, 38.4)",[]
156,-7.28,"(113.2, 38.4)",[]
157,-7.28,"(113.2, 38.4)",[]
158,-7.28,"(113.2, 38.4)",[]
159,-7.28,"(113.2, 38.4)",[]
160,-7.28,"(113.2, 38.4)",[]
161,-7.28,"(113.2, 38.4)",[]
162,-7.28,"(113.2, 38.4)",[]
163,-7.28,"(113.2, 38.4)",[]
164,-7.28,"(113.2, 38.4)",[]
165,-7.28,"(113.2, 38.4)",[]
166,-7.28,"(113.2, 38.4)",[]
167,-7.24,"(128.4, 38.4)",['f1e1']
168,-7.24,"(128.4, 38.4)",[]
169,-7.24,"(128.4, 38.4)",[]
170,-7.24,"(128.4, 38.4)",[]
171,-7.24,"(128.4, 38.4)",[]
172,-7.24,"(128.4, 38.4)",[]
173,-7.24,"(128.4, 38.4)",[]
174,-7.24,"(128.4, 38.4)",[]
175,-7.24,"(128.4, 38.4)",[]
176,-7.56,"(128.4, 46.8)",['e7e6']
177,-7.56,"(128.4, 46.8)",[]
178,-7.56,"(128.4, 46.8)",[]
179,-7.56,"(128.4, 46.8)",[]
180,-7.56,"(128.4, 46.8)",[]
181,-7.56,"(128.4, 46.8)",[]
182,-7.64,"(134.3, 46.8)",['c2c3']
183,-7.64,"(134.3, 46.8)",[]
184,-7.64,"(134.3, 46.8)",[]
185,-7.64,"(134.3, 46.8)",[]
186,-7.64,"(134.3, 46.8)",[]
187,-7.64,"(134.3, 46.8)",[]
188,-7.64,"(134.3, 46.8)",[]
189,-7.64,"(134.3, 46.8)",[]
190,-7.64,"(134.3, 46.8)",[]
191,-7.64,"(134.3, 46.8)",[]
192,-7.64,"(134.3, 46.8)",[]
193,-7.64,"(134.3, 46.8)",[]
194,-7.56,"(134.3, 59.3)",['d4h4']
195,-7.56,"(134.3, 59.3)",[]
196,-7.56,"(134.3, 59.3)",[]
197,-7.56,"(134.3, 59.3)",[]
198,-7.56,"(134.3, 59.3)",[]
199,-7.56,"(134.3, 59.3)",[]
200,-7.56,"(134.3, 59.3)",[]
201,-7.56,"(134.3, 59.3)",[]
202,-7.56,"(134.3, 59.3)",[]
203,-7.56,"(134.3, 59.3)",[]
204,-7.56,"(134.3, 59.3)",[]
205,-7.56,"(134.3, 59.3)",[]
206,-7.56,"(134.3, 59.3)",[]
207,-7.56,"(134.3, 59.3)",[]
208,-7.56,"(134.3, 59.3)",[]
209,-7.56,"(134.3, 59.3)",[]
210,-7.56,"(134.3, 59.3)",[]
211,-7.56,"(134.3, 59.3)",[]
212,-7.56,"(134.3, 59.3)",[]
213,-7.56,"(134.3, 59.3)",[]
214,-7.56,"(134.3, 59.3)",[]
215,-7.56,"(134.3, 59.3)",[]
216,-7.56,"(134.3, 59.3)",[]
217,-7.56,"(134.3, 59.3)",[]
218,-7.56,"(134.3, 59.3)",[]
219,-7.56,"(134.3, 59.3)",[]
220,-7.56,"(134.3, 59.3)",[]
221,-7.56,"(134.3, 59.3)",[]
222,-7.56,"(134.3, 59.3)",[]
223,-7.56,"(134.3, 59.3)",[]
224,-7.56,"(134.3, 59.3)",[]
225,-7.56,"(134.3, 59.3)",[]
226,-7.56,"(134.3, 59.3)",[]
227,-7.56,"(134.3, 59.3)",[]
228,-7.56,"(134.3, 59.3)",[]
229,-7.56,"(134.3, 59.3)",[]
230,-7.56,"(134.3, 59.3)",[]
231,-7.56,"(134.3, 59.3)",[]
232,-7.56,"(134.3, 59.3)",[]
233,-7.56,"(134.3, 59.3)",[]
234,-7.41,"(174.5, 59.3)",['d1e2']
235,-7.41,"(174.5, 59.3)",[]
236,-7.41,"(174.5, 59.3)",[]
237,-7.41,"(174.5, 59.3)",[]
238,-7.41,"(174.5, 59.3)",[]
239,-7.41,"(174.5, 59.3)",[]
240,-7.41,"(174.5, 59.3)",[]
241,-7.41,"(174.5, 59.3)",[]
242,-7.41,"(174.5, 59.3)",[]
243,-7.41,"(174.5, 59.3)",[]
244,-7.41,"(174.5, 59.3)",[]
245,-7.41,"(174.5, 59.3)",[]
246,-7.41,"(174.5, 59.3)",[]
247,-7.41,"(174.5, 59.3)",[]
248,-7.41,"(174.5, 59.3)",[]
249,-7.41,"(174.5, 59.3)",[]
250,-7.41,"(174.5, 59.3)",[]
251,-7.41,"(174.5, 59.3)",[]
252,-6.51,"(174.5, 77.0)",['f8d6']
253,-6.51,"(174.5, 77.0)",[]
254,-6.51,"(174.5, 77.0)",[]
255,-6.51,"(174.5, 77.0)",[]
256,-6.51,"(174.5, 77.0)",[]
257,-6.51,"(174.5, 77.0)",[]
258,-6.51,"(174.5, 77.0)",[]
259,-6.51,"(174.5, 77.0)",[]
260,-6.51,"(174.5, 77.0)",[]
261,-8.69,"(183.4, 77.0)",['h2h3']
262,-8.69,"(183.4, 77.0)",[]
263,-8.69,"(183.4, 77.0)",[]
264,-8.69,"(183.4, 77.0)",[]
265,-8.69,"(183.4, 77.0)",[]
266,-5.78,"(183.4, 82.2)",['f6e4']
267,-5.78,"(183.4, 82.2)",[]
268,-5.78,"(183.4, 82.2)",[]
269,-5.78,"(183.4, 82.2)",[]
270,-5.78,"(183.4, 82.2)",[]
271,-5.78,"(183.4, 82.2)",[]
272,-5.78,"(183.4, 82.2)",[]
273,-5.78,"(183.4, 82.2)",[]
274,-5.78,"(183.4, 82.2)",[]
275,-5.78,"(183.4, 82.2)",[]
276,-5.78,"(183.4, 82.2)",[]
277,-5.78,"(183.4, 82.2)",[]
278,-5.78,"(183.4, 82.2)",[]
279,-5.78,"(183.4, 82.2)",[]
280,-5.78,"(183.4, 82.2)",[]
281,-5.78,"(183.4, 82.2)",[]
282,-5.78,"(183.4, 82.2)",[]
283,-5.78,"(183.4, 82.2)",[]
284,-5.78,"(183.4, 82.2)",[]
285,-5.78,"(183.4, 82.2)",[]
286,-5.78,"(183.4, 82.2)",[]
287,-5.78,"(183.4, 82.2)",[]
288,-5.78,"(183.4, 82.2)",[]
289,-5.78,"(183.4, 82.2)",[]
290,-5.78,"(183.4, 82.2)",[]
291,-5.78,"(183.4, 82.2)",[]
292,-6.1,"(209.0, 82.2)",['e2b5']
293,-6.1,"(209.0, 82.2)",[]
294,-6.1,"(209.0, 82.2)",[]
295,-6.1,"(209.0, 82.2)",[]
296,-6.1,"(209.0, 82.2)",[]
297,-6.1,"(209.0, 82.2)",[]
298,-6.1,"(209.0, 82.2)",[]
299,-6.1,"(209.0, 82.2)",[]
300,-6.1,"(209.0, 82.2)",[]
301,-6.1,"(209.0, 82.2)",[]
302,-6.1,"(209.0, 82.2)",[]
303,-6.1,"(209.0, 82.2)",[]
304,-6.1,"(209.0, 82.2)",[]
305,-6.1,"(209.0, 82.2)",[]
306,-6.1,"(209.0, 82.2)",[]
307,-6.1,"(209.0, 82.2)",[]
308,-6.1,"(209.0, 82.2)",[]
309,-6.1,"(209.0, 82.2)",[]
310,-6.1,"(209.0, 82.2)",[]
311,-6.1,"(209.0, 82.2)",[]
312,-6.1,"(209.0, 82.2)",[]
313,-6.1,"(209.0, 82.2)",[]
314,-6.1,"(209.0, 82.2)",[]
315,-5.04,"(209.0, 105.3)",['e8e7']
316,-5.04,"(209.0, 105.3)",[]
317,-5.04,"(209.0, 105.3)",[]
318,-5.04,"(209.0, 105.3)",[]
319,-5.04,"(209.0, 105.3)",[]
320,-5.04,"(209.0, 105.3)",[]
321,-5.04,"(209.0, 105.3)",[]
322,-5.04,"(209.0, 105.3)",[]
323,-5.04,"(209.0, 105.3)",[]
324,-5.04,"(209.0, 105.3)",[]
325,-5.04,"(209.0, 105.3)",[]
326,-5.04,"(209.0, 105.3)",[]
327,-5.04,"(209.0, 105.3)",[]
