Time,Eval,TimeUsed,Moves,Board
37,0.98,"(17.6, 18.9)",['d4e5'],r1b1kb1r/ppp1qppp/2np1n2/4P3/4P3/2N1BN2/PPP2PPP/R2QKB1R b KQkq - 0 6
38,0.98,"(17.6, 18.9)",[],r1b1kb1r/ppp1qppp/2np1n2/4P3/4P3/2N1BN2/PPP2PPP/R2QKB1R b KQkq - 0 6
39,1.07,"(17.6, 21.1)",['d6e5'],r1b1kb1r/ppp1qppp/2n2n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 0 7
40,1.07,"(17.6, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 0 7
41,1.07,"(17.6, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 0 7
42,1.07,"(17.6, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 0 7
43,1.07,"(17.6, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 0 7
44,1.07,"(17.6, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 0 7
45,1.07,"(17.6, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 0 7
46,1.07,"(17.6, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 0 7
47,1.07,"(17.6, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 0 7
48,1.07,"(17.6, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 0 7
49,1.07,"(17.6, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 0 7
50,1.07,"(17.6, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 0 7
51,1.07,"(17.6, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 0 7
52,1.07,"(17.6, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 0 7
53,1.19,"(31.5, 21.1)",['f1b5'],r1b1kb1r/ppp1qppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R b KQkq - 1 7
54,1.19,"(31.5, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R b KQkq - 1 7
55,1.19,"(31.5, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R b KQkq - 1 7
56,1.19,"(31.5, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R b KQkq - 1 7
57,1.19,"(31.5, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R b KQkq - 1 7
58,1.19,"(31.5, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R b KQkq - 1 7
59,1.19,"(31.5, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R b KQkq - 1 7
60,1.19,"(31.5, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R b KQkq - 1 7
61,1.19,"(31.5, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R b KQkq - 1 7
62,1.19,"(31.5, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R b KQkq - 1 7
63,1.19,"(31.5, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R b KQkq - 1 7
64,1.19,"(31.5, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R b KQkq - 1 7
65,1.19,"(31.5, 21.1)",[],r1b1kb1r/ppp1qppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R b KQkq - 1 7
66,1.23,"(31.5, 34.1)",['c8d7'],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
67,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
68,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
69,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
70,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
71,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
72,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
73,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
74,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
75,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
76,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
77,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
78,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
79,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
80,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
81,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
82,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
83,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
84,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
85,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
86,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
87,1.23,"(31.5, 34.1)",[],r3kb1r/pppbqppp/2n2n2/1B2p3/4P3/2N1BN2/PPP2PPP/R2QK2R w KQkq - 2 8
