Time,Eval,TimeUsed,Moves,Board
38,-0.12,"(20.7, 14.6)",[],rnbqkb1r/ppp2ppp/5n2/4p3/4p3/2NP1P2/PPP3PP/R1BQKBNR w KQkq - 0 5
39,-0.12,"(20.7, 14.6)",[],rnbqkb1r/ppp2ppp/5n2/4p3/4p3/2NP1P2/PPP3PP/R1BQKBNR w KQkq - 0 5
40,-0.12,"(20.7, 14.6)",[],rnbqkb1r/ppp2ppp/5n2/4p3/4p3/2NP1P2/PPP3PP/R1BQKBNR w KQkq - 0 5
41,-0.12,"(20.7, 14.6)",[],rnbqkb1r/ppp2ppp/5n2/4p3/4p3/2NP1P2/PPP3PP/R1BQKBNR w KQkq - 0 5
42,-0.12,"(20.7, 14.6)",[],rnbqkb1r/ppp2ppp/5n2/4p3/4p3/2NP1P2/PPP3PP/R1BQKBNR w KQkq - 0 5
43,-0.12,"(20.7, 14.6)",[],rnbqkb1r/ppp2ppp/5n2/4p3/4p3/2NP1P2/PPP3PP/R1BQKBNR w KQkq - 0 5
44,-0.12,"(20.7, 14.6)",[],rnbqkb1r/ppp2ppp/5n2/4p3/4p3/2NP1P2/PPP3PP/R1BQKBNR w KQkq - 0 5
45,-0.12,"(20.7, 14.6)",[],rnbqkb1r/ppp2ppp/5n2/4p3/4p3/2NP1P2/PPP3PP/R1BQKBNR w KQkq - 0 5
46,-0.12,"(20.7, 14.6)",[],rnbqkb1r/ppp2ppp/5n2/4p3/4p3/2NP1P2/PPP3PP/R1BQKBNR w KQkq - 0 5
47,-0.12,"(20.7, 14.6)",[],rnbqkb1r/ppp2ppp/5n2/4p3/4p3/2NP1P2/PPP3PP/R1BQKBNR w KQkq - 0 5
48,-0.12,"(20.7, 14.6)",[],rnbqkb1r/ppp2ppp/5n2/4p3/4p3/2NP1P2/PPP3PP/R1BQKBNR w KQkq - 0 5
49,-0.12,"(20.7, 14.6)",[],rnbqkb1r/ppp2ppp/5n2/4p3/4p3/2NP1P2/PPP3PP/R1BQKBNR w KQkq - 0 5
50,-0.21,"(35.3, 14.6)",['d3e4'],rnbqkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1BQKBNR b KQkq - 0 5
51,-0.21,"(35.3, 14.6)",[],rnbqkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1BQKBNR b KQkq - 0 5
52,-0.21,"(35.3, 14.6)",[],rnbqkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1BQKBNR b KQkq - 0 5
53,-0.21,"(35.3, 14.6)",[],rnbqkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1BQKBNR b KQkq - 0 5
54,-0.21,"(35.3, 14.6)",[],rnbqkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1BQKBNR b KQkq - 0 5
55,0.14,"(35.3, 19.2)",['b8c6'],r1bqkb1r/ppp2ppp/2n2n2/4p3/4P3/2N2P2/PPP3PP/R1BQKBNR w KQkq - 1 6
56,0.14,"(35.3, 19.2)",[],r1bqkb1r/ppp2ppp/2n2n2/4p3/4P3/2N2P2/PPP3PP/R1BQKBNR w KQkq - 1 6
57,0.14,"(35.3, 19.2)",[],r1bqkb1r/ppp2ppp/2n2n2/4p3/4P3/2N2P2/PPP3PP/R1BQKBNR w KQkq - 1 6
58,0.07,"(37.9, 19.2)",['d1d8'],r1bQkb1r/ppp2ppp/2n2n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR b KQkq - 0 6
59,0.07,"(37.9, 19.2)",[],r1bQkb1r/ppp2ppp/2n2n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR b KQkq - 0 6
60,0.12,"(37.9, 22.0)",['c6d8'],r1bnkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR w KQkq - 0 7
61,0.12,"(37.9, 22.0)",[],r1bnkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR w KQkq - 0 7
62,0.12,"(37.9, 22.0)",[],r1bnkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR w KQkq - 0 7
63,0.12,"(37.9, 22.0)",[],r1bnkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR w KQkq - 0 7
64,0.12,"(37.9, 22.0)",[],r1bnkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR w KQkq - 0 7
65,0.12,"(37.9, 22.0)",[],r1bnkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR w KQkq - 0 7
66,0.12,"(37.9, 22.0)",[],r1bnkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR w KQkq - 0 7
67,0.12,"(37.9, 22.0)",[],r1bnkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR w KQkq - 0 7
68,0.12,"(37.9, 22.0)",[],r1bnkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR w KQkq - 0 7
69,0.12,"(37.9, 22.0)",[],r1bnkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR w KQkq - 0 7
70,0.12,"(37.9, 22.0)",[],r1bnkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR w KQkq - 0 7
71,0.12,"(37.9, 22.0)",[],r1bnkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR w KQkq - 0 7
72,0.12,"(37.9, 22.0)",[],r1bnkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR w KQkq - 0 7
73,0.12,"(37.9, 22.0)",[],r1bnkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR w KQkq - 0 7
74,0.12,"(37.9, 22.0)",[],r1bnkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR w KQkq - 0 7
75,0.12,"(37.9, 22.0)",[],r1bnkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1B1KBNR w KQkq - 0 7
76,-0.07,"(53.7, 22.0)",['c1g5'],r1bnkb1r/ppp2ppp/5n2/4p1B1/4P3/2N2P2/PPP3PP/R3KBNR b KQkq - 1 7
77,-0.07,"(53.7, 22.0)",[],r1bnkb1r/ppp2ppp/5n2/4p1B1/4P3/2N2P2/PPP3PP/R3KBNR b KQkq - 1 7
78,-0.07,"(53.7, 22.0)",[],r1bnkb1r/ppp2ppp/5n2/4p1B1/4P3/2N2P2/PPP3PP/R3KBNR b KQkq - 1 7
79,0.06,"(53.7, 25.3)",['f8e7'],r1bnk2r/ppp1bppp/5n2/4p1B1/4P3/2N2P2/PPP3PP/R3KBNR w KQkq - 2 8
80,0.06,"(53.7, 25.3)",[],r1bnk2r/ppp1bppp/5n2/4p1B1/4P3/2N2P2/PPP3PP/R3KBNR w KQkq - 2 8
81,0.06,"(53.7, 25.3)",[],r1bnk2r/ppp1bppp/5n2/4p1B1/4P3/2N2P2/PPP3PP/R3KBNR w KQkq - 2 8
82,0.06,"(53.7, 25.3)",[],r1bnk2r/ppp1bppp/5n2/4p1B1/4P3/2N2P2/PPP3PP/R3KBNR w KQkq - 2 8
83,-0.01,"(57.6, 25.3)",['g5f6'],r1bnk2r/ppp1bppp/5B2/4p3/4P3/2N2P2/PPP3PP/R3KBNR b KQkq - 0 8
84,-0.01,"(57.6, 25.3)",[],r1bnk2r/ppp1bppp/5B2/4p3/4P3/2N2P2/PPP3PP/R3KBNR b KQkq - 0 8
85,0.12,"(57.6, 27.2)",['e7f6'],r1bnk2r/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/R3KBNR w KQkq - 0 9
86,0.12,"(57.6, 27.2)",[],r1bnk2r/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/R3KBNR w KQkq - 0 9
87,0.12,"(57.6, 27.2)",[],r1bnk2r/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/R3KBNR w KQkq - 0 9
88,0.12,"(57.6, 27.2)",[],r1bnk2r/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/R3KBNR w KQkq - 0 9
89,-0.83,"(60.9, 27.2)",['e1c1'],r1bnk2r/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR b kq - 1 9
90,-0.83,"(60.9, 27.2)",[],r1bnk2r/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR b kq - 1 9
91,-0.83,"(60.9, 27.2)",[],r1bnk2r/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR b kq - 1 9
92,-0.83,"(60.9, 27.2)",[],r1bnk2r/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR b kq - 1 9
93,-0.83,"(60.9, 27.2)",[],r1bnk2r/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR b kq - 1 9
94,-0.83,"(60.9, 27.2)",[],r1bnk2r/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR b kq - 1 9
95,-0.83,"(60.9, 27.2)",[],r1bnk2r/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR b kq - 1 9
96,-0.83,"(60.9, 27.2)",[],r1bnk2r/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR b kq - 1 9
97,-0.83,"(60.9, 27.2)",[],r1bnk2r/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR b kq - 1 9
98,-0.06,"(60.9, 36.8)",['e8g8'],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
99,-0.06,"(60.9, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
100,-0.06,"(60.9, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
101,-0.06,"(60.9, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
102,-0.06,"(60.9, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
103,-0.06,"(60.9, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
104,-0.06,"(60.9, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
105,-0.06,"(60.9, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
106,-0.06,"(60.9, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
107,-0.06,"(60.9, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
108,-0.06,"(60.9, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
109,-0.06,"(60.9, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
110,-0.06,"(60.9, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
111,-0.06,"(60.9, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
112,-0.06,"(60.9, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
113,-0.06,"(60.9, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
114,-0.06,"(60.9, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
115,-0.06,"(60.9, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP3PP/2KR1BNR w - - 2 10
116,-0.64,"(79.1, 36.8)",['g1e2'],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
117,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
118,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
119,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
120,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
121,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
122,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
123,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
124,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
125,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
126,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
127,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
128,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
129,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
130,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
131,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
132,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
133,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
134,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
135,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
136,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
137,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
138,-0.64,"(79.1, 36.8)",[],r1bn1rk1/ppp2ppp/5b2/4p3/4P3/2N2P2/PPP1N1PP/2KR1B1R b - - 3 10
139,1.28,"(79.1, 59.8)",['c7c5'],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
140,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
141,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
142,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
143,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
144,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
145,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
146,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
147,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
148,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
149,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
150,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
151,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
152,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
153,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
154,1.28,"(79.1, 59.8)",[],r1bn1rk1/pp3ppp/5b2/2p1p3/4P3/2N2P2/PPP1N1PP/2KR1B1R w - - 0 11
