HR,Delta,Time
76,0,0
77,1,1
77,1,2
77,1,3
77,1,4
75,-1,5
74,-2,6
74,-2,7
73,-3,8
73,-3,9
73,-3,10
73,-3,11
74,-2,12
74,-2,13
75,-1,14
75,-1,15
75,-1,16
76,0,17
77,1,18
76,0,19
76,0,20
75,-1,21
75,-1,22
75,-1,23
75,-1,24
75,-1,25
75,-1,26
74,-2,27
73,-3,28
73,-3,29
72,-4,30
72,-4,31
72,-4,32
73,-3,33
73,-3,34
73,-3,35
72,-4,36
71,-5,37
72,-4,38
71,-5,39
71,-5,40
72,-4,41
72,-4,42
73,-3,43
75,-1,44
75,-1,45
75,-1,46
74,-2,47
73,-3,48
73,-3,49
74,-2,50
74,-2,51
75,-1,52
75,-1,53
75,-1,54
76,0,55
75,-1,56
74,-2,57
74,-2,58
74,-2,59
74,-2,60
74,-2,61
73,-3,62
73,-3,63
75,-1,64
76,0,65
77,1,66
78,2,67
78,2,68
77,1,69
76,0,70
75,-1,71
75,-1,72
75,-1,73
76,0,74
76,0,75
76,0,76
77,1,77
77,1,78
76,0,79
76,0,80
76,0,81
76,0,82
76,0,83
77,1,84
78,2,85
80,4,86
80,4,87
81,5,88
80,4,89
79,3,90
78,2,91
76,0,92
75,-1,93
75,-1,94
76,0,95
76,0,96
77,1,97
76,0,98
76,0,99
75,-1,100
74,-2,101
73,-3,102
74,-2,103
74,-2,104
75,-1,105
76,0,106
76,0,107
76,0,108
75,-1,109
75,-1,110
76,0,111
75,-1,112
75,-1,113
74,-2,114
74,-2,115
75,-1,116
75,-1,117
76,0,118
75,-1,119
74,-2,120
73,-3,121
72,-4,122
71,-5,123
72,-4,124
72,-4,125
75,-1,126
77,1,127
78,2,128
78,2,129
78,2,130
77,1,131
78,2,132
79,3,133
79,3,134
82,6,135
82,6,136
82,6,137
81,5,138
80,4,139
78,2,140
76,0,141
76,0,142
75,-1,143
75,-1,144
76,0,145
76,0,146
76,0,147
76,0,148
76,0,149
76,0,150
76,0,151
77,1,152
79,3,153
80,4,154
81,5,155
82,6,156
83,7,157
84,8,158
85,9,159
85,9,160
84,8,161
82,6,162
82,6,163
82,6,164
84,8,165
84,8,166
84,8,167
84,8,168
84,8,169
82,6,170
80,4,171
79,3,172
77,1,173
76,0,174
77,1,175
78,2,176
79,3,177
80,4,178
80,4,179
80,4,180
79,3,181
76,0,182
76,0,183
76,0,184
76,0,185
77,1,186
79,3,187
81,5,188
81,5,189
81,5,190
81,5,191
80,4,192
78,2,193
77,1,194
76,0,195
77,1,196
78,2,197
80,4,198
80,4,199
81,5,200
82,6,201
81,5,202
81,5,203
79,3,204
79,3,205
79,3,206
79,3,207
80,4,208
82,6,209
83,7,210
83,7,211
83,7,212
82,6,213
81,5,214
80,4,215
80,4,216
79,3,217
79,3,218
79,3,219
79,3,220
78,2,221
78,2,222
77,1,223
77,1,224
76,0,225
76,0,226
76,0,227
76,0,228
76,0,229
76,0,230
76,0,231
75,-1,232
75,-1,233
74,-2,234
74,-2,235
74,-2,236
75,-1,237
75,-1,238
75,-1,239
75,-1,240
75,-1,241
74,-2,242
74,-2,243
75,-1,244
75,-1,245
76,0,246
76,0,247
77,1,248
77,1,249
77,1,250
77,1,251
77,1,252
78,2,253
78,2,254
78,2,255
79,3,256
78,2,257
78,2,258
78,2,259
77,1,260
77,1,261
77,1,262
77,1,263
78,2,264
78,2,265
78,2,266
78,2,267
77,1,268
77,1,269
76,0,270
75,-1,271
75,-1,272
76,0,273
76,0,274
76,0,275
76,0,276
76,0,277
76,0,278
75,-1,279
74,-2,280
74,-2,281
74,-2,282
74,-2,283
75,-1,284
76,0,285
76,0,286
76,0,287
76,0,288
76,0,289
75,-1,290
75,-1,291
75,-1,292
75,-1,293
76,0,294
76,0,295
77,1,296
79,3,297
81,5,298
82,6,299
82,6,300
81,5,301
80,4,302
79,3,303
79,3,304
80,4,305
82,6,306
84,8,307
87,11,308
88,12,309
88,12,310
88,12,311
88,12,312
85,9,313
83,7,314
80,4,315
79,3,316
77,1,317
77,1,318
77,1,319
77,1,320
75,-1,321
74,-2,322
73,-3,323
72,-4,324
72,-4,325
72,-4,326
73,-3,327
74,-2,328
75,-1,329
76,0,330
77,1,331
78,2,332
78,2,333
78,2,334
79,3,335
80,4,336
80,4,337
81,5,338
81,5,339
81,5,340
81,5,341
81,5,342
80,4,343
80,4,344
79,3,345
79,3,346
79,3,347
80,4,348
80,4,349
80,4,350
80,4,351
79,3,352
79,3,353
79,3,354
78,2,355
78,2,356
79,3,357
79,3,358
80,4,359
79,3,360
79,3,361
79,3,362
78,2,363
77,1,364
77,1,365
77,1,366
76,0,367
76,0,368
76,0,369
77,1,370
77,1,371
77,1,372
76,0,373
77,1,374
77,1,375
78,2,376
79,3,377
79,3,378
79,3,379
79,3,380
79,3,381
79,3,382
79,3,383
78,2,384
78,2,385
78,2,386
77,1,387
78,2,388
79,3,389
79,3,390
79,3,391
80,4,392
81,5,393
81,5,394
81,5,395
80,4,396
81,5,397
82,6,398
82,6,399
84,8,400
85,9,401
85,9,402
85,9,403
82,6,404
82,6,405
81,5,406
81,5,407
82,6,408
82,6,409
83,7,410
83,7,411
81,5,412
80,4,413
79,3,414
79,3,415
80,4,416
80,4,417
79,3,418
79,3,419
78,2,420
77,1,421
77,1,422
77,1,423
77,1,424
77,1,425
77,1,426
77,1,427
76,0,428
77,1,429
77,1,430
78,2,431
80,4,432
82,6,433
84,8,434
85,9,435
85,9,436
85,9,437
85,9,438
86,10,439
87,11,440
88,12,441
88,12,442
88,12,443
88,12,444
88,12,445
86,10,446
83,7,447
81,5,448
79,3,449
77,1,450
77,1,451
77,1,452
79,3,453
80,4,454
83,7,455
85,9,456
86,10,457
85,9,458
85,9,459
85,9,460
83,7,461
82,6,462
81,5,463
81,5,464
82,6,465
82,6,466
82,6,467
81,5,468
79,3,469
78,2,470
78,2,471
77,1,472
78,2,473
78,2,474
79,3,475
80,4,476
79,3,477
79,3,478
77,1,479
76,0,480
76,0,481
76,0,482
77,1,483
78,2,484
78,2,485
79,3,486
79,3,487
80,4,488
